Timeframe,Description,File Format,URL
Current,"Site Scanning results, filtered to just live production sites and deduplicated, from the previous day's scans (live=TRUE, filtered=FALSE, redirect=FALSE)",JSON,https://api.gsa.gov/technology/site-scanning/data/site-scanning-live-filtered-unique-previous.json
Current,Detailed Site Scanning accessibility scan results,JSON,https://api.gsa.gov/technology/site-scanning/data/weekly-snapshot-accessibility-details.json
#Since 4-24-25#,#Since 4-24-25#,#Since 4-24-25#,#Since 4-24-25#
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/site-scanning-2025-04-24.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/site-scanning-2025-04-25.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/site-scanning-2025-04-26.csv
etc.,etc.,etc.,etc.
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/site-scanning-live-filtered-2025-04-24.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/site-scanning-live-filtered-2025-04-25.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/site-scanning-live-filtered-2025-04-26.csv
etc.,etc.,etc.,etc.
Historical,"Site Scanning results from a specific date, filtered to just live production sites and deduplicated",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/site-scanning-live-filtered-unique-2025-04-24.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites and deduplicated",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/site-scanning-live-filtered-unique-2025-04-25.csv
Historical,"Site Scanning results from a specific date, filtered to just live production sites and deduplicated",CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/site-scanning-live-filtered-unique-2025-04-26.csv
etc.,etc.,etc.,etc.
Historical,Complete Site Scanning results from a specific date,JSON,https://api.gsa.gov/technology/site-scanning/data/archive/json/site-scanning-2025-04-24.json
Historical,Complete Site Scanning results from a specific date,JSON,https://api.gsa.gov/technology/site-scanning/data/archive/json/site-scanning-2025-04-25.json
Historical,Complete Site Scanning results from a specific date,JSON,https://api.gsa.gov/technology/site-scanning/data/archive/json/site-scanning-2025-04-26.json
etc.,etc.,etc.,etc.
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",JSON,https://api.gsa.gov/technology/site-scanning/data/archive/json/site-scanning-live-filtered-2025-04-24.json
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",JSON,https://api.gsa.gov/technology/site-scanning/data/archive/json/site-scanning-live-filtered-2025-04-25.json
Historical,"Site Scanning results from a specific date, filtered to just live production sites ",JSON,https://api.gsa.gov/technology/site-scanning/data/archive/json/site-scanning-live-filtered-2025-04-26.json
etc.,etc.,etc.,etc.
Historical,"Site Scanning results from a specific date, filtered to just live production sites and deduplicated",JSON,https://api.gsa.gov/technology/site-scanning/data/archive/json/site-scanning-live-filtered-unique-2025-04-24.json
Historical,"Site Scanning results from a specific date, filtered to just live production sites and deduplicated",JSON,https://api.gsa.gov/technology/site-scanning/data/archive/json/site-scanning-live-filtered-unique-2025-04-25.json
Historical,"Site Scanning results from a specific date, filtered to just live production sites and deduplicated",JSON,https://api.gsa.gov/technology/site-scanning/data/archive/json/site-scanning-live-filtered-unique-2025-04-26.json
etc.,etc.,etc.,etc.
Historical,Detailed Site Scanning accessibility scan results from a specific date,JSON,https://api.gsa.gov/technology/site-scanning/data/archive/json/weekly-snapshot-accessibility-details-2025-04-24.json
Historical,Detailed Site Scanning accessibility scan results from a specific date,JSON,https://api.gsa.gov/technology/site-scanning/data/archive/json/weekly-snapshot-accessibility-details-2025-04-25.json
Historical,Detailed Site Scanning accessibility scan results from a specific date,JSON,https://api.gsa.gov/technology/site-scanning/data/archive/json/weekly-snapshot-accessibility-details-2025-04-26.json
etc.,etc.,etc.,etc.
#Before 4-24-25#,#Before 4-24-25#,#Before 4-24-25#,#Before 4-24-25#
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2022-10-16.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2022-10-23.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2022-10-30.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2022-11-06.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2022-11-07.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2022-11-09.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2022-11-13.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2022-11-20.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2022-11-27.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2022-12-04.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2022-12-11.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2022-12-12.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2022-12-13.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2022-12-15.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2022-12-18.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2022-12-25.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2022-12-27.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-01-01.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-01-08.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-01-15.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-01-22.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-01-26.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-01-29.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-01-31.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-02-01.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-02-03.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-02-05.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-02-06.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-02-08.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-02-12.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-02-19.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-02-22.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-02-24.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-02-26.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-03-05.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-03-12.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-03-19.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-03-22.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-03-26.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-04-02.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-04-03-1.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-04-03.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-04-07.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-04-09.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-04-14.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-04-16.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-04-17.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-04-23.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-04-30.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-05-02.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-05-07.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-05-09.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-05-12.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-05-14.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-05-21.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-05-25.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-05-26.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-05-28.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-05-31.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-06-02-1.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-06-02-2.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-06-02.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-06-04.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-06-11.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-06-13.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-06-14.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-06-15.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-06-18.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-06-22.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-06-25.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-06-30.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-07-02.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-07-04.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-07-05.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-07-06.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-07-09.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-07-16.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-07-19.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-07-23.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-07-24.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-07-26.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-07-30.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-08-03.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-08-06.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-08-13.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-08-16-1.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-08-16.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-08-18.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-08-20.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-08-27.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-09-03.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-09-07.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-09-08-1.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-09-08.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-09-10.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-09-11.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-09-13.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-09-24.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-10-01.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-10-08.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-10-10.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-10-15.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-10-17-1.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-10-17.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-10-22.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-10-29.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-10-31-1.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-10-31-2.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-10-31.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-11-05.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-11-10.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-11-12.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-11-19.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-11-26.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-12-03.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-12-08.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-12-10.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-12-17.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-12-24.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2023-12-31.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2024-01-07.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2024-01-14.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2024-01-21.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2024-01-24.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2024-01-28.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2024-02-04.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2024-02-08.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2024-02-09.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2024-02-11.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2024-02-18.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2024-02-25.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2024-03-03.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2024-03-06.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2024-03-10.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2024-03-15-1.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2024-03-15-2.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2024-03-15.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2024-03-17.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2024-03-19-1.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2024-03-19-2.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2024-03-19.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2024-03-20.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2024-03-21-1.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2024-03-21-2.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2024-03-21.csv
Historical,Complete Site Scanning results from a specific date,CSV,https://api.gsa.gov/technology/site-scanning/data/archive/csv/weekly-snapshot-all-2024-03-24.csv
