Timeframe,Description,File Format,URL
Current,Complete Site Scanning results,CSV,https://api.gsa.gov/technology/site-scanning/data/site-scanning-latest.csv
Current,Complete Site Scanning results,JSON,https://api.gsa.gov/technology/site-scanning/data/site-scanning-latest.json
Current,"Site Scanning results, filtered to just live sites (live=TRUE)",CSV,https://api.gsa.gov/technology/site-scanning/data/site-scanning-live-latest.csv
Current,"Site Scanning results, filtered to just live sites (live=TRUE)",JSON,https://api.gsa.gov/technology/site-scanning/data/site-scanning-live-latest.json
Current,"Site Scanning results, filtered to just live production sites (live=TRUE, filtered=FALSE)",CSV,https://api.gsa.gov/technology/site-scanning/data/site-scanning-live-filtered-latest.csv
Current,"Site Scanning results, filtered to just live production sites (live=TRUE, filtered=FALSE)",JSON,https://api.gsa.gov/technology/site-scanning/data/site-scanning-live-filtered-latest.json
Current,"Site Scanning results, filtered to just live production sites and deduplicated (live=TRUE, filtered=FALSE, redirect=FALSE)",CSV,https://api.gsa.gov/technology/site-scanning/data/site-scanning-live-filtered-unique-latest.csv
Current,"Site Scanning results, filtered to just live production sites and deduplicated (live=TRUE, filtered=FALSE, redirect=FALSE)",JSON,https://api.gsa.gov/technology/site-scanning/data/site-scanning-live-filtered-unique-latest.json
Current,"Complete Site Scanning results, from the previous day's scans",CSV,https://api.gsa.gov/technology/site-scanning/data/site-scanning-previous.csv
Current,"Complete Site Scanning results, from the previous day's scans",JSON,https://api.gsa.gov/technology/site-scanning/data/site-scanning-previous.json
Current,"Site Scanning results, filtered to just live sites, from the previous day's scans (live=TRUE)",CSV,https://api.gsa.gov/technology/site-scanning/data/site-scanning-live-previous.csv
Current,"Site Scanning results, filtered to just live sites, from the previous day's scans (live=TRUE)",JSON,https://api.gsa.gov/technology/site-scanning/data/site-scanning-live-previous.json
Current,"Site Scanning results, filtered to just live production sites, from the previous day's scans (live=TRUE, filtered=FALSE)",CSV,https://api.gsa.gov/technology/site-scanning/data/site-scanning-live-filtered-previous.csv
Current,"Site Scanning results, filtered to just live production sites, from the previous day's scans (live=TRUE, filtered=FALSE)",JSON,https://api.gsa.gov/technology/site-scanning/data/site-scanning-live-filtered-previous.json
Current,"Site Scanning results, filtered to just live production sites and deduplicated, from the previous day's scans (live=TRUE, filtered=FALSE, redirect=FALSE)",CSV,https://api.gsa.gov/technology/site-scanning/data/site-scanning-live-filtered-unique-previous.csv
