name,type,dod_aggregate,agency_subelement,employment
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,AIR FORCE MANAGEMENT ENGINEERING AGENCY,1
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,AIR FORCE INSPECTION AND SAFETY CENTER,34
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,AIR FORCE OPERATIONAL TEST AND EVALUATION CENTER,153
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,AIR FORCE COMMUNICATIONS AGENCY,244
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,AIR FORCE INTELLIGENCE SERVICE,47
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,AIR FORCE AUDIT AGENCY,736
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,AIR FORCE OFFICE OF SPECIAL INVESTIGATIONS,605
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,AIR FORCE OFFICE OF SECURITY POLICE,36
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,AIR FORCE PERSONNEL CENTER,817
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,U.S. AIR FORCE ACADEMY,1406
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,"U.S. AIR FORCES, EUROPE",1741
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,AIR EDUCATION AND TRAINING COMMAND,14887
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,"HEADQUARTERS, AIR FORCE RESERVE",12969
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,"IMMEDIATE OFFICE, HEADQUARTERS, USAF",965
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,PACIFIC AIR FORCES,3228
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,"AIR FORCE INTELLIGENCE, SURVEILLANCE, & RECONNAISSANCE AGENCY",1832
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,AIR FORCE SPECIAL OPERATIONS COMMAND,1548
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,AIR FORCE MANPOWER AGENCY,294
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,AIR FORCE PUBLIC AFFAIRS AGENCY,20
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,HQ USAF AND SUPPORT ELEMENTS,16
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,"AIR FORCE C2 & INTELLIGENCE, SURVEILLANCE & RECONNAISSANCE",50
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,AIR COMBAT COMMAND,10441
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,AIR FORCE LOGISTICS MANAGEMENT AGENCY,16
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,AIR MOBILITY COMMAND,9037
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,AIR FORCE MATERIEL COMMAND,59691
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,AIR FORCE REAL PROPERTY AGENCY,90
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,HQ AF FLIGHT STANDARDS AGENCY,49
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,"AIR FORCE ELEMENTS, U.S. AFRICA COMMAND",1
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,SPACE COMMAND,7422
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,AIR FORCE ENGINEERING AND SERVICES CENTER,124
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,AIR FORCE CIVILIAN CAREER TRAINING,1852
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,AIR FORCE AGENCY FOR MODELING/SIMULATION,10
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,AIR FORCE NUCLEAR WEAPONS AGENCY,1
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,HQ USAF DIRECT SUPPORT ELEMENT,481
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,AF,423
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,AIR FORCE COST CENTER,113
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,AIR FORCE PERSONNEL OPERATIONS AGENCY,41
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,AIR FORCE LEGAL SERVICES CENTER,246
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,AIR FORCE MEDICAL SERVICES CENTER,59
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,AIR FORCE SERVICE INFORMATION AND NEWS CENTER,4
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,AIR NATIONAL GUARD SUPPORT CENTER,575
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,U.S. AIR FORCE HISTORICAL RESEARCH CENTER,57
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,AIR FORCE TECHNICAL APPLICATIONS CENTER,300
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,AIR FORCE REVIEW BOARDS OFFICE,53
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,AIR FORCE CENTER FOR STUDIES AND ANALYSES,1
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,AIR WEATHER SERVICE,216
DEPARTMENT OF THE AIR FORCE,Cabinet Level Agencies,D+-DEPARTMENT OF DEFENSE,AIR FORCE PROGRAM EXECUTIVE OFFICE,19
