AGYTYPT,AGYSUB,AGYT,AGYSUBT
Cabinet Level Agencies,AF02,DEPARTMENT OF THE AIR FORCE,AIR FORCE INSPECTION AGENCY (FO)
Cabinet Level Agencies,AF03,DEPARTMENT OF THE AIR FORCE,AIR FORCE OPERATIONAL TEST AND EVALUATION CENTER
Cabinet Level Agencies,AF06,DEPARTMENT OF THE AIR FORCE,AIR FORCE AUDIT AGENCY
Cabinet Level Agencies,AF07,DEPARTMENT OF THE AIR FORCE,AIR FORCE OFFICE OF SPECIAL INVESTIGATIONS
Cabinet Level Agencies,AF09,DEPARTMENT OF THE AIR FORCE,AIR FORCE PERSONNEL CENTER
Cabinet Level Agencies,AF0B,DEPARTMENT OF THE AIR FORCE,U.S. AIR FORCE ACADEMY
Cabinet Level Agencies,AF0D,DEPARTMENT OF THE AIR FORCE,"U.S. AIR FORCES, EUROPE"
Cabinet Level Agencies,AF0J,DEPARTMENT OF THE AIR FORCE,AIR EDUCATION AND TRAINING COMMAND
Cabinet Level Agencies,AF0M,DEPARTMENT OF THE AIR FORCE,"HEADQUARTERS, AIR FORCE RESERVE COMMAND"
Cabinet Level Agencies,AF0R,DEPARTMENT OF THE AIR FORCE,PACIFIC AIR FORCES
Cabinet Level Agencies,AF0V,DEPARTMENT OF THE AIR FORCE,AIR FORCE SPECIAL OPERATIONS COMMAND
Cabinet Level Agencies,AF12,DEPARTMENT OF THE AIR FORCE,AIR FORCE PUBLIC AFFAIRS AGENCY
Cabinet Level Agencies,AF13,DEPARTMENT OF THE AIR FORCE,HQ USAF AND SUPPORT ELEMENTS
Cabinet Level Agencies,AF16,DEPARTMENT OF THE AIR FORCE,AIR FORCE MORTUARY AFFAIRS OPERATIONS
Cabinet Level Agencies,AF1B,DEPARTMENT OF THE AIR FORCE,AIR FORCE MANPOWER ANALYSIS AGENCY
Cabinet Level Agencies,AF1C,DEPARTMENT OF THE AIR FORCE,AIR COMBAT COMMAND
Cabinet Level Agencies,AF1L,DEPARTMENT OF THE AIR FORCE,AIR MOBILITY COMMAND
Cabinet Level Agencies,AF1M,DEPARTMENT OF THE AIR FORCE,AIR FORCE MATERIEL COMMAND
Cabinet Level Agencies,AF1Q,DEPARTMENT OF THE AIR FORCE,HQ AF FLIGHT STANDARDS AGENCY
Cabinet Level Agencies,AF1Y,DEPARTMENT OF THE AIR FORCE,AIR FORCE CIVILIAN CAREER TRAINING
Cabinet Level Agencies,AF20,DEPARTMENT OF THE AIR FORCE,AIR FORCE AGENCY FOR MODELING/SIMULATION
Cabinet Level Agencies,AF2A,DEPARTMENT OF THE AIR FORCE,AIR FORCE COST ANALYSIS AGENCY
Cabinet Level Agencies,AF2E,DEPARTMENT OF THE AIR FORCE,AIR FORCE LEGAL OPERATIONS AGENCY
Cabinet Level Agencies,AF2F,DEPARTMENT OF THE AIR FORCE,AIR FORCE MEDICAL SUPPORT AGENCY
Cabinet Level Agencies,AF2H,DEPARTMENT OF THE AIR FORCE,AIR FORCE OPERATIONS GROUP
Cabinet Level Agencies,AF2I,DEPARTMENT OF THE AIR FORCE,AIR NATIONAL GUARD SUPPORT CENTER
Cabinet Level Agencies,AF2K,DEPARTMENT OF THE AIR FORCE,AIR FORCE HISTORICAL RESEARCH AGENCY
Cabinet Level Agencies,AF2L,DEPARTMENT OF THE AIR FORCE,AIR FORCE TECHNICAL APPLICATIONS CENTER
Cabinet Level Agencies,AF2M,DEPARTMENT OF THE AIR FORCE,AIR FORCE REVIEW BOARDS AGENCY
Cabinet Level Agencies,AF2R,DEPARTMENT OF THE AIR FORCE,AIR FORCE PROGRAM EXECUTIVE OFFICE
Cabinet Level Agencies,AF2S,DEPARTMENT OF THE AIR FORCE,AIR FORCE ELEMENTS NORAD
Cabinet Level Agencies,AF2T,DEPARTMENT OF THE AIR FORCE,AIR FORCE SAFETY CENTER
Cabinet Level Agencies,AF2Z,DEPARTMENT OF THE AIR FORCE,AIR FORCE MEDICAL
Cabinet Level Agencies,AF38,DEPARTMENT OF THE AIR FORCE,AFELM JCS
Cabinet Level Agencies,AF3C,DEPARTMENT OF THE AIR FORCE,"AIR FORCE ELEMENTS, U.S. CENTRAL COMMAND"
Cabinet Level Agencies,AF3D,DEPARTMENT OF THE AIR FORCE,"AIR FORCE ELEMENTS, U.S. SPECIAL OPERATIONS COMMAND"
Cabinet Level Agencies,AF3Q,DEPARTMENT OF THE AIR FORCE,"AIR FORCE ELEMENTS, U.S. STRATEGIC COMMAND"
Cabinet Level Agencies,AF3T,DEPARTMENT OF THE AIR FORCE,"AIR FORCE ELEMENTS, U.S. TRANSPORTATION COMMAND"
Cabinet Level Agencies,AF3V,DEPARTMENT OF THE AIR FORCE,AIR FORCE ELEMENTS
Cabinet Level Agencies,AF40,DEPARTMENT OF THE AIR FORCE,NATIONAL AIR AND SPACE INTELLIGENCE CENTER
Cabinet Level Agencies,AF4D,DEPARTMENT OF THE AIR FORCE,U.S. NORTHERN COMMAND
Cabinet Level Agencies,AF4F,DEPARTMENT OF THE AIR FORCE,HQ US SPACE FORCE
Cabinet Level Agencies,AF4G,DEPARTMENT OF THE AIR FORCE,UNITED STATES SPACE FORCE
Cabinet Level Agencies,AF4S,DEPARTMENT OF THE AIR FORCE,AFELM US SPACE COMMAND
Cabinet Level Agencies,AF4V,DEPARTMENT OF THE AIR FORCE,NON-DOD AND OTHER SUPPORT
Cabinet Level Agencies,AF4W,DEPARTMENT OF THE AIR FORCE,AIR FORCE DISTRICT OF WASHINGTON
Cabinet Level Agencies,AF5D,DEPARTMENT OF THE AIR FORCE,DEFENSE CYBER CRIME CENTER
Cabinet Level Agencies,AF6D,DEPARTMENT OF THE AIR FORCE,SPACE DEVELOPMENT AGENCY
Cabinet Level Agencies,AF6F,DEPARTMENT OF THE AIR FORCE,UNITED STATES SPACE FORCE FORCES
Cabinet Level Agencies,AF6K,DEPARTMENT OF THE AIR FORCE,United States Space Force Components
Cabinet Level Agencies,AF6S,DEPARTMENT OF THE AIR FORCE,SPACE SYSTEMS COMMAND
Cabinet Level Agencies,AF6T,DEPARTMENT OF THE AIR FORCE,SPACE TRAINING AND READINESS COMMAND
Cabinet Level Agencies,AFGS,DEPARTMENT OF THE AIR FORCE,AIR FORCE GLOBAL STRIKE COMMAND
Cabinet Level Agencies,AFNG,DEPARTMENT OF THE AIR FORCE,AIR NATIONAL GUARD UNITS
Cabinet Level Agencies,AFZG,DEPARTMENT OF THE AIR FORCE,U.S. SPECIAL OPERATIONS COMMAND (ANG)
Cabinet Level Agencies,AG01,DEPARTMENT OF AGRICULTURE,OFFICE OF THE SECRETARY OF AGRICULTURE
Cabinet Level Agencies,AG02,DEPARTMENT OF AGRICULTURE,AGRICULTURAL MARKETING SERVICE
Cabinet Level Agencies,AG03,DEPARTMENT OF AGRICULTURE,AGRICULTURAL RESEARCH SERVICE
Cabinet Level Agencies,AG07,DEPARTMENT OF AGRICULTURE,RURAL DEVELOPMENT
Cabinet Level Agencies,AG08,DEPARTMENT OF AGRICULTURE,RISK MANAGEMENT AGENCY
Cabinet Level Agencies,AG10,DEPARTMENT OF AGRICULTURE,FOREIGN AGRICULTURAL SERVICE
Cabinet Level Agencies,AG11,DEPARTMENT OF AGRICULTURE,FOREST SERVICE
Cabinet Level Agencies,AG13,DEPARTMENT OF AGRICULTURE,OFFICE OF COMMUNICATIONS
Cabinet Level Agencies,AG14,DEPARTMENT OF AGRICULTURE,OFFICE OF THE GENERAL COUNSEL
Cabinet Level Agencies,AG16,DEPARTMENT OF AGRICULTURE,NATURAL RESOURCES CONSERVATION SERVICE
Cabinet Level Agencies,AG18,DEPARTMENT OF AGRICULTURE,ECONOMIC RESEARCH SERVICE
Cabinet Level Agencies,AG20,DEPARTMENT OF AGRICULTURE,NATIONAL AGRICULTURAL STATISTICS SERVICE
Cabinet Level Agencies,AG22,DEPARTMENT OF AGRICULTURE,NATIONAL INSTITUTE OF FOOD AND AGRICULTURE
Cabinet Level Agencies,AG23,DEPARTMENT OF AGRICULTURE,OFFICE OF THE INSPECTOR GENERAL
Cabinet Level Agencies,AG30,DEPARTMENT OF AGRICULTURE,FOOD AND NUTRITION SERVICE
Cabinet Level Agencies,AG34,DEPARTMENT OF AGRICULTURE,ANIMAL AND PLANT HEALTH INSPECTION SERVICE
Cabinet Level Agencies,AG37,DEPARTMENT OF AGRICULTURE,FOOD SAFETY AND INSPECTION SERVICE
Cabinet Level Agencies,AG38,DEPARTMENT OF AGRICULTURE,OFFICE OF THE CHIEF ECONOMIST
Cabinet Level Agencies,AG42,DEPARTMENT OF AGRICULTURE,OFFICE OF BUDGET AND PROGRAM ANALYSIS
Cabinet Level Agencies,AG90,DEPARTMENT OF AGRICULTURE,OFFICE OF THE CHIEF FINANCIAL OFFICER
Cabinet Level Agencies,AG99,DEPARTMENT OF AGRICULTURE,FPAC BUSINESS CENTER
Cabinet Level Agencies,AGAO,DEPARTMENT OF AGRICULTURE,OFFICE OF PARTNERSHIPS AND PUBLIC ENGAGEMENT
Cabinet Level Agencies,AGCR,DEPARTMENT OF AGRICULTURE,CIVIL RIGHTS
Cabinet Level Agencies,AGDA,DEPARTMENT OF AGRICULTURE,DEPARTMENTAL ADMINISTRATION
Cabinet Level Agencies,AGFA,DEPARTMENT OF AGRICULTURE,FARM SERVICE AGENCY
Cabinet Level Agencies,AGHL,DEPARTMENT OF AGRICULTURE,HOMELAND SECURITY STAFF
Cabinet Level Agencies,AGIT,DEPARTMENT OF AGRICULTURE,OFFICE OF THE CHIEF INFORMATION OFFICER
Cabinet Level Agencies,AGNA,DEPARTMENT OF AGRICULTURE,NATIONAL APPEALS DIVISION
Cabinet Level Agencies,AR2A,DEPARTMENT OF THE ARMY,UNITED STATES ARMY CYBER COMMAND
Cabinet Level Agencies,AR3A,DEPARTMENT OF THE ARMY,U.S. ARMY CENTRAL
Cabinet Level Agencies,AR5A,DEPARTMENT OF THE ARMY,U.S. ARMY NORTH
Cabinet Level Agencies,ARAE,DEPARTMENT OF THE ARMY,U.S. ARMY ACQUISITION SUPPORT CENTER
Cabinet Level Agencies,ARAF,DEPARTMENT OF THE ARMY,UNITED STATES ARMY FUTURES COMMAND
Cabinet Level Agencies,ARAN,DEPARTMENT OF THE ARMY,U.S. ARMY NATIONAL MILITARY CEMETERIES
Cabinet Level Agencies,ARAP,DEPARTMENT OF THE ARMY,U. S. MILITARY ENTRANCE PROCESSING COMMAND
Cabinet Level Agencies,ARAS,DEPARTMENT OF THE ARMY,U.S. ARMY INTELLIGENCE AND SECURITY COMMAND
Cabinet Level Agencies,ARAT,DEPARTMENT OF THE ARMY,U.S. ARMY TEST AND EVALUATION COMMAND
Cabinet Level Agencies,ARBA,DEPARTMENT OF THE ARMY,U.S. ARMY INSTALLATION MANAGEMENT COMMAND
Cabinet Level Agencies,ARCB,DEPARTMENT OF THE ARMY,U.S. ARMY CRIMINAL INVESTIGATION COMMAND
Cabinet Level Agencies,ARCE,DEPARTMENT OF THE ARMY,U.S. ARMY CORPS OF ENGINEERS
Cabinet Level Agencies,ARCH,DEPARTMENT OF THE ARMY,US ARMY CIVILIAN HUMAN RESOURCES AGENCY
Cabinet Level Agencies,ARCP,DEPARTMENT OF THE ARMY,Civilian Protection Center Of Excellence (CP CoE)
Cabinet Level Agencies,ARCS,DEPARTMENT OF THE ARMY,IMMEDIATE OFFICE OF THE CHIEF OF STAFF OF THE ARMY
Cabinet Level Agencies,ARE1,DEPARTMENT OF THE ARMY,IMMEDIATE OFFICE OF THE COMMANDER-IN-CHIEF OF THE U.S. ARMY EUROPE AND SEVENTH ARMY
Cabinet Level Agencies,ARE2,DEPARTMENT OF THE ARMY,21ST THEATER SUSTAINMENT COMMAND (TSC)
Cabinet Level Agencies,ARE3,DEPARTMENT OF THE ARMY,UNITED STATES ARMY EUROPE AND AFRICA
Cabinet Level Agencies,ARE5,DEPARTMENT OF THE ARMY,U.S. ARMY V CORPS
Cabinet Level Agencies,AREN,DEPARTMENT OF THE ARMY,SEVENTH ARMY TRAINING COMMAND
Cabinet Level Agencies,ARFC,DEPARTMENT OF THE ARMY,U.S. ARMY FORCES COMMAND
Cabinet Level Agencies,ARGB,DEPARTMENT OF THE ARMY,OFFICE OF THE CHIEF OF THE NATIONAL GUARD BUREAU
Cabinet Level Agencies,ARHC,DEPARTMENT OF THE ARMY,US ARMY HUMAN RESOURCES COMMAND (DRU)
Cabinet Level Agencies,ARHR,DEPARTMENT OF THE ARMY,U.S. ARMY RESERVE COMMAND
Cabinet Level Agencies,ARJ1,DEPARTMENT OF THE ARMY,U.S. ARMY ELEMENT SHAPE
Cabinet Level Agencies,ARJA,DEPARTMENT OF THE ARMY,JOINT ACTIVITIES
Cabinet Level Agencies,ARMA,DEPARTMENT OF THE ARMY,U.S. MILITARY ACADEMY
Cabinet Level Agencies,ARMC,DEPARTMENT OF THE ARMY,U.S. ARMY MEDICAL COMMAND
Cabinet Level Agencies,ARMW,DEPARTMENT OF THE ARMY,U.S. ARMY MILITARY DISTRICT OF WASHINGTON
Cabinet Level Agencies,ARNG,DEPARTMENT OF THE ARMY,ARMY NATIONAL GUARD UNITS
Cabinet Level Agencies,ARP1,DEPARTMENT OF THE ARMY,"U.S. ARMY, PACIFIC"
Cabinet Level Agencies,ARPS,DEPARTMENT OF THE ARMY,MILITARY POSTAL SERVICE AGENCY
Cabinet Level Agencies,ARSA,DEPARTMENT OF THE ARMY,OFFICE OF THE SECRETARY OF THE ARMY
Cabinet Level Agencies,ARSB,DEPARTMENT OF THE ARMY,FIELD OPERATING OFFICES OF THE OFFICE OF THE SECRETARY OF THE ARMY
Cabinet Level Agencies,ARSC,DEPARTMENT OF THE ARMY,U. S. ARMY SPACE AND MISSILE DEFENSE COMMAND/U. S. ARMY FORCES STRATEGIC COMMAND
Cabinet Level Agencies,ARSE,DEPARTMENT OF THE ARMY,HQDA FIELD OPERATING AGENCIES AND STAFF SUPPORT AGENCIES AND STAFF SUPPORT AGENCIES
Cabinet Level Agencies,ARSJ,DEPARTMENT OF THE ARMY,"JOINT SERVICES AND ACTIVITIES SUPPORTED BY THE OFFICE, SECRETARY OF THE ARMY"
Cabinet Level Agencies,ARSO,DEPARTMENT OF THE ARMY,U.S. ARMY SOUTH
Cabinet Level Agencies,ARSP,DEPARTMENT OF THE ARMY,U.S. SPECIAL OPERATIONS COMMAND (ARMY)
Cabinet Level Agencies,ARTA,DEPARTMENT OF THE ARMY,U.S. ARMY RECRUITING COMMAND AND U.S. ARMY CADET COMMAND
Cabinet Level Agencies,ARTC,DEPARTMENT OF THE ARMY,U.S. ARMY TRAINING AND DOCTRINE COMMAND
Cabinet Level Agencies,ARTW,DEPARTMENT OF THE ARMY,U.S. ARMY WAR COLLEGE
Cabinet Level Agencies,ARX2,DEPARTMENT OF THE ARMY,"HEADQUARTERS, AMC"
Cabinet Level Agencies,ARX6,DEPARTMENT OF THE ARMY,U.S. ARMY AVIATION AND MISSILE COMMAND
Cabinet Level Agencies,ARX7,DEPARTMENT OF THE ARMY,U.S. ARMY TANK-AUTOMOTIVE AND ARMAMENT COMMAND (TACOM)
Cabinet Level Agencies,ARX8,DEPARTMENT OF THE ARMY,U.S. ARMY COMMUNICATIONS ELECTRONICS COMMAND
Cabinet Level Agencies,ARX9,DEPARTMENT OF THE ARMY,UNITED STATES ARMY MEDICAL LOGISTICS COMMAND
Cabinet Level Agencies,ARXA,DEPARTMENT OF THE ARMY,UNITED STATES ARMY INSTALLATION MANAGEMENT COMMAND
Cabinet Level Agencies,ARXB,DEPARTMENT OF THE ARMY,U.S. ARMY CHEMICAL MATERIALS ACTIVITY
Cabinet Level Agencies,ARXC,DEPARTMENT OF THE ARMY,U.S. ARMY SUSTAINMENT COMMAND
Cabinet Level Agencies,ARXD,DEPARTMENT OF THE ARMY,U. S. ARMY CONTRACTING COMMAND
Cabinet Level Agencies,ARXF,DEPARTMENT OF THE ARMY,UNITED STATES ARMY FINANCIAL MANAGEMENT COMMAND
Cabinet Level Agencies,ARXG,DEPARTMENT OF THE ARMY,UNITED STATES ARMY PRINT AND MEDIA DISTRIBUTION CENTER
Cabinet Level Agencies,ARXK,DEPARTMENT OF THE ARMY,MATERIEL ACQUISITION ACTIVITIES
Cabinet Level Agencies,ARXP,DEPARTMENT OF THE ARMY,U.S. ARMY SECURITY ASSISTANCE COMMAND
Cabinet Level Agencies,ARXQ,DEPARTMENT OF THE ARMY,U.S. ARMY JOINT MUNITIONS COMMAND
Cabinet Level Agencies,ARXR,DEPARTMENT OF THE ARMY,"U.S. ARMY RESEARCH, DEVELOPMENT AND ENGINEERING COMMAND"
Cabinet Level Agencies,ARXT,DEPARTMENT OF THE ARMY,U.S. ARMY MILITARY SURFACE DEPLOYMENT AND DISTRIBUTION COMMAND
Cabinet Level Agencies,ARXX,DEPARTMENT OF THE ARMY,MATERIEL READINESS ACTIVITIES
Cabinet Level Agencies,CM51,DEPARTMENT OF COMMERCE,OFFICE OF THE SECRETARY
Cabinet Level Agencies,CM52,DEPARTMENT OF COMMERCE,ECONOMIC DEVELOPMENT ADMINISTRATION
