AGYTYPT,AGYSUB,AGYT,AGYSUBT
Cabinet Level Agencies,CM53,DEPARTMENT OF COMMERCE,BUREAU OF ECONOMIC ANALYSIS
Cabinet Level Agencies,CM54,DEPARTMENT OF COMMERCE,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION
Cabinet Level Agencies,CM55,DEPARTMENT OF COMMERCE,INTERNATIONAL TRADE ADMINISTRATION
Cabinet Level Agencies,CM56,DEPARTMENT OF COMMERCE,PATENT AND TRADEMARK OFFICE
Cabinet Level Agencies,CM57,DEPARTMENT OF COMMERCE,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY
Cabinet Level Agencies,CM59,DEPARTMENT OF COMMERCE,MINORITY BUSINESS DEVELOPMENT AGENCY
Cabinet Level Agencies,CM61,DEPARTMENT OF COMMERCE,NATIONAL TELECOMMUNICATIONS AND INFORMATION ADMINISTRATION
Cabinet Level Agencies,CM62,DEPARTMENT OF COMMERCE,NATIONAL TECHNICAL INFORMATION SERVICE
Cabinet Level Agencies,CM63,DEPARTMENT OF COMMERCE,U.S. CENSUS BUREAU
Cabinet Level Agencies,CM64,DEPARTMENT OF COMMERCE,OFFICE OF THE INSPECTOR GENERAL
Cabinet Level Agencies,CM67,DEPARTMENT OF COMMERCE,BUREAU OF INDUSTRY AND SECURITY
Cabinet Level Agencies,DD01,DEPARTMENT OF DEFENSE,OFFICE OF THE SECRETARY OF DEFENSE
Cabinet Level Agencies,DD02,DEPARTMENT OF DEFENSE,ORGANIZATION OF THE JOINT CHIEFS OF STAFF
Cabinet Level Agencies,DD04,DEPARTMENT OF DEFENSE,DEFENSE INFORMATION SYSTEMS AGENCY
Cabinet Level Agencies,DD06,DEPARTMENT OF DEFENSE,DEFENSE SECURITY COOPERATION AGENCY
Cabinet Level Agencies,DD07,DEPARTMENT OF DEFENSE,DEFENSE LOGISTICS AGENCY
Cabinet Level Agencies,DD08,DEPARTMENT OF DEFENSE,U.S. COURT OF APPEALS FOR THE ARMED FORCES
Cabinet Level Agencies,DD10,DEPARTMENT OF DEFENSE,DEFENSE CONTRACT AUDIT AGENCY
Cabinet Level Agencies,DD12,DEPARTMENT OF DEFENSE,DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY
Cabinet Level Agencies,DD13,DEPARTMENT OF DEFENSE,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY
Cabinet Level Agencies,DD15,DEPARTMENT OF DEFENSE,UNIFORMED SERVICES UNIVERSITY OF THE HEALTH SCIENCES
Cabinet Level Agencies,DD16,DEPARTMENT OF DEFENSE,DEPARTMENT OF DEFENSE EDUCATION ACTIVITY
Cabinet Level Agencies,DD21,DEPARTMENT OF DEFENSE,WASHINGTON HEADQUARTERS SERVICES
Cabinet Level Agencies,DD23,DEPARTMENT OF DEFENSE,OFFICE OF ECONOMIC ADJUSTMENT
Cabinet Level Agencies,DD25,DEPARTMENT OF DEFENSE,DEFENSE LEGAL SERVICES AGENCY
Cabinet Level Agencies,DD26,DEPARTMENT OF DEFENSE,OFFICE OF THE INSPECTOR GENERAL
Cabinet Level Agencies,DD27,DEPARTMENT OF DEFENSE,MISSILE DEFENSE AGENCY
Cabinet Level Agencies,DD29,DEPARTMENT OF DEFENSE,DEFENSE TECHNOLOGY SECURITY ADMINISTRATION
Cabinet Level Agencies,DD34,DEPARTMENT OF DEFENSE,DEFENSE COMMISSARY AGENCY
Cabinet Level Agencies,DD35,DEPARTMENT OF DEFENSE,DEFENSE FINANCE AND ACCOUNTING SERVICE
Cabinet Level Agencies,DD48,DEPARTMENT OF DEFENSE,DEFENSE HUMAN RESOURCES ACTIVITY
Cabinet Level Agencies,DD53,DEPARTMENT OF DEFENSE,DEFENSE POW/MIA ACCOUNTING AGENCY
Cabinet Level Agencies,DD60,DEPARTMENT OF DEFENSE,DEFENSE HEALTH AGENCY
Cabinet Level Agencies,DD61,DEPARTMENT OF DEFENSE,DEFENSE THREAT REDUCTION AGENCY
Cabinet Level Agencies,DD63,DEPARTMENT OF DEFENSE,DEFENSE CONTRACT MANAGEMENT AGENCY
Cabinet Level Agencies,DD65,DEPARTMENT OF DEFENSE,PENTAGON FORCE PROTECTION AGENCY
Cabinet Level Agencies,DD68,DEPARTMENT OF DEFENSE,DEPARTMENT OF DEFENSE TEST RESOURCE MANAGEMENT CENTER
Cabinet Level Agencies,DD69,DEPARTMENT OF DEFENSE,NATIONAL DEFENSE UNIVERSITY
Cabinet Level Agencies,DD71,DEPARTMENT OF DEFENSE,DEFENSE MICROELECTRONICS ACTIVITY
Cabinet Level Agencies,DD74,DEPARTMENT OF DEFENSE,DEFENSE TECHNICAL INFORMATION CENTER
Cabinet Level Agencies,DD80,DEPARTMENT OF DEFENSE,DEFENSE MEDIA ACTIVITY
Cabinet Level Agencies,DD81,DEPARTMENT OF DEFENSE,DEFENSE ACQUISITION UNIVERSITY
Cabinet Level Agencies,DD82,DEPARTMENT OF DEFENSE,NATIONAL RECONNAISSANCE OFFICE
Cabinet Level Agencies,DD83,DEPARTMENT OF DEFENSE,MILITARY TREATMENT FACILITIES UNDER DHA
Cabinet Level Agencies,DJ01,DEPARTMENT OF JUSTICE,"OFFICES, BOARDS AND DIVISIONS"
Cabinet Level Agencies,DJ02,DEPARTMENT OF JUSTICE,FEDERAL BUREAU OF INVESTIGATION
Cabinet Level Agencies,DJ03,DEPARTMENT OF JUSTICE,BUREAU OF PRISONS/FEDERAL PRISON SYSTEM
Cabinet Level Agencies,DJ06,DEPARTMENT OF JUSTICE,DRUG ENFORCEMENT ADMINISTRATION
Cabinet Level Agencies,DJ07,DEPARTMENT OF JUSTICE,OFFICE OF JUSTICE PROGRAMS
Cabinet Level Agencies,DJ08,DEPARTMENT OF JUSTICE,U.S. MARSHALS SERVICE
Cabinet Level Agencies,DJ09,DEPARTMENT OF JUSTICE,EXECUTIVE OFFICE FOR U.S. ATTORNEYS AND THE OFFICES OF THE U.S. ATTORNEYS
Cabinet Level Agencies,DJ10,DEPARTMENT OF JUSTICE,OFFICE OF THE INSPECTOR GENERAL
Cabinet Level Agencies,DJ11,DEPARTMENT OF JUSTICE,U.S. TRUSTEE PROGRAM
Cabinet Level Agencies,DJ12,DEPARTMENT OF JUSTICE,EXECUTIVE OFFICE FOR IMMIGRATION REVIEW
Cabinet Level Agencies,DJ14,DEPARTMENT OF JUSTICE,COMMUNITY RELATIONS SERVICE
Cabinet Level Agencies,DJ15,DEPARTMENT OF JUSTICE,"BUREAU OF ALCOHOL, TOBACCO, FIREARMS, AND EXPLOSIVES"
Cabinet Level Agencies,DLAA,DEPARTMENT OF LABOR,OFFICE OF THE SECRETARY OF LABOR
Cabinet Level Agencies,DLAM,DEPARTMENT OF LABOR,OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION AND MANAGEMENT
Cabinet Level Agencies,DLBL,DEPARTMENT OF LABOR,BUREAU OF INTERNATIONAL LABOR AFFAIRS
Cabinet Level Agencies,DLCA,DEPARTMENT OF LABOR,OFFICE OF CONGRESSIONAL AND INTERGOVERNMENTAL AFFAIRS
Cabinet Level Agencies,DLCF,DEPARTMENT OF LABOR,OFFICE OF THE CHIEF FINANCIAL OFFICER
Cabinet Level Agencies,DLEH,DEPARTMENT OF LABOR,OFFICE OF DISABILITY EMPLOYMENT POLICY
Cabinet Level Agencies,DLET,DEPARTMENT OF LABOR,EMPLOYMENT AND TRAINING ADMINISTRATION
Cabinet Level Agencies,DLIG,DEPARTMENT OF LABOR,OFFICE OF THE INSPECTOR GENERAL
Cabinet Level Agencies,DLLS,DEPARTMENT OF LABOR,BUREAU OF LABOR STATISTICS
Cabinet Level Agencies,DLMS,DEPARTMENT OF LABOR,MINE SAFETY AND HEALTH ADMINISTRATION
Cabinet Level Agencies,DLOF,DEPARTMENT OF LABOR,OFFICE OF FEDERAL CONTRACT COMPLIANCE PROGRAMS
Cabinet Level Agencies,DLOL,DEPARTMENT OF LABOR,OFFICE OF LABOR-MANAGEMENT STANDARDS
Cabinet Level Agencies,DLOW,DEPARTMENT OF LABOR,OFFICE OF WORKERS' COMPENSATION PROGRAMS
Cabinet Level Agencies,DLPA,DEPARTMENT OF LABOR,OFFICE OF PUBLIC AFFAIRS
Cabinet Level Agencies,DLPE,DEPARTMENT OF LABOR,OFFICE OF THE ASSISTANT SECRETARY FOR POLICY
Cabinet Level Agencies,DLPW,DEPARTMENT OF LABOR,EMPLOYEE BENEFITS SECURITY ADMINISTRATION
Cabinet Level Agencies,DLSH,DEPARTMENT OF LABOR,OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION
Cabinet Level Agencies,DLSL,DEPARTMENT OF LABOR,OFFICE OF THE SOLICITOR
Cabinet Level Agencies,DLVE,DEPARTMENT OF LABOR,VETERANS EMPLOYMENT AND TRAINING SERVICES
Cabinet Level Agencies,DLWB,DEPARTMENT OF LABOR,WOMEN'S BUREAU
Cabinet Level Agencies,DLWH,DEPARTMENT OF LABOR,WAGE AND HOUR DIVISION
Cabinet Level Agencies,DN00,DEPARTMENT OF ENERGY,DEPARTMENT OF ENERGY
Cabinet Level Agencies,DNFE,DEPARTMENT OF ENERGY,FEDERAL ENERGY REGULATORY COMMISSION
Cabinet Level Agencies,EDEA,DEPARTMENT OF EDUCATION,IMMEDIATE OFFICE OF THE SECRETARY OF EDUCATION
Cabinet Level Agencies,EDEB,DEPARTMENT OF EDUCATION,OFFICE OF THE DUTY SECRETARY OF EDUCATION
Cabinet Level Agencies,EDEC,DEPARTMENT OF EDUCATION,OFFICE FOR CIVIL RIGHTS
Cabinet Level Agencies,EDED,DEPARTMENT OF EDUCATION,"OFFICE OF PLANNING, EVALUATION AND POLICY DEVELOPMENT"
Cabinet Level Agencies,EDEE,DEPARTMENT OF EDUCATION,OFFICE OF THE UNDER SECRETARY
Cabinet Level Agencies,EDEF,DEPARTMENT OF EDUCATION,OFFICE OF INSPECTOR GENERAL
Cabinet Level Agencies,EDEG,DEPARTMENT OF EDUCATION,OFFICE OF THE GENERAL COUNSEL
Cabinet Level Agencies,EDEH,DEPARTMENT OF EDUCATION,OFFICE OF SPECIAL EDUCATION AND REHABILITATIVE SERVICES
Cabinet Level Agencies,EDEI,DEPARTMENT OF EDUCATION,OFFICE OF THE CHIEF INFORMATION OFFICER
Cabinet Level Agencies,EDEJ,DEPARTMENT OF EDUCATION,OFFICE OF LEGISLATION AND CONGRESSIONAL AFFAIRS
Cabinet Level Agencies,EDEK,DEPARTMENT OF EDUCATION,OFFICE OF FINANCE AND OPERATIONS
Cabinet Level Agencies,EDEN,DEPARTMENT OF EDUCATION,FEDERAL STUDENT AID
