Source,domain,DAP Present?,source,domain,DAP Present?,Present in both results?,To research,Notes
Site Scanner,agile-labor-categories.18f.gov,FALSE,analytics.usa.gov,agile-labor-categories.18f.gov,FALSE,yes,--,
Site Scanner,agile.18f.gov,TRUE,analytics.usa.gov,agile.18f.gov,TRUE,yes,--,
Site Scanner,agriculture.data.gov,TRUE,analytics.usa.gov,agriculture.data.gov,FALSE,yes,Why does SS detect DAP?,
Site Scanner,airnow-blue.app.cloud.gov,TRUE,analytics.usa.gov,airnow-blue.app.cloud.gov,TRUE,yes,--,
Site Scanner,airnow-green.app.cloud.gov,FALSE,analytics.usa.gov,airnow-green.app.cloud.gov,TRUE,yes,Why does SS not detect DAP?,"has dap, no redirect, uses GTM"
Site Scanner,airnow.app.cloud.gov,TRUE,analytics.usa.gov,airnow.app.cloud.gov,TRUE,yes,--,
Site Scanner,alpha.data.gov,TRUE,analytics.usa.gov,alpha.data.gov,FALSE,yes,Why does SS detect DAP?,
Site Scanner,alpha.fapiis.gov,FALSE,analytics.usa.gov,alpha.fapiis.gov,FALSE,yes,--,
Site Scanner,alpha.sam.gov,TRUE,analytics.usa.gov,alpha.sam.gov,TRUE,yes,--,
Site Scanner,alphareporting.sam.gov,FALSE,analytics.usa.gov,alphareporting.sam.gov,FALSE,yes,--,
Site Scanner,amp.fas.gsa.gov,TRUE,analytics.usa.gov,amp.fas.gsa.gov,TRUE,yes,--,
Site Scanner,analytics-staging.app.cloud.gov,TRUE,analytics.usa.gov,analytics-staging.app.cloud.gov,FALSE,yes,Why does SS detect DAP?,
Site Scanner,analytics.app.cloud.gov,TRUE,analytics.usa.gov,analytics.app.cloud.gov,FALSE,yes,Why does SS detect DAP?,
Site Scanner,analytics.fr.cloud.gov,TRUE,analytics.usa.gov,analytics.fr.cloud.gov,FALSE,yes,Why does SS detect DAP?,
Site Scanner,analytics.usa.gov,FALSE,analytics.usa.gov,analytics.usa.gov,TRUE,yes,Why does SS not detect DAP?,:shrug: uses GTM
Site Scanner,answers.usa.gov,TRUE,analytics.usa.gov,answers.usa.gov,FALSE,yes,Why does SS detect DAP?,
Site Scanner,anywhere.gsa.gov,FALSE,analytics.usa.gov,anywhere.gsa.gov,FALSE,yes,--,
Site Scanner,api-all-the-x.18f.gov,FALSE,analytics.usa.gov,api-all-the-x.18f.gov,FALSE,yes,--,
Site Scanner,api-alpha.sam.gov,FALSE,analytics.usa.gov,api-alpha.sam.gov,FALSE,yes,--,
Site Scanner,api-program.18f.gov,FALSE,analytics.usa.gov,api-program.18f.gov,FALSE,yes,--,
Site Scanner,api-usability-testing.18f.gov,FALSE,analytics.usa.gov,api-usability-testing.18f.gov,FALSE,yes,--,
Site Scanner,api.code.gov,FALSE,analytics.usa.gov,api.code.gov,FALSE,yes,--,
Site Scanner,api.data.gov,TRUE,analytics.usa.gov,api.data.gov,TRUE,yes,--,
Site Scanner,api.gsa.gov,FALSE,analytics.usa.gov,api.gsa.gov,FALSE,yes,--,
Site Scanner,api.regulations.gov,FALSE,analytics.usa.gov,api.regulations.gov,FALSE,yes,--,
Site Scanner,api.sam.gov,FALSE,analytics.usa.gov,api.sam.gov,FALSE,yes,--,
Site Scanner,api.sftool.gov,FALSE,analytics.usa.gov,api.sftool.gov,FALSE,yes,--,
Site Scanner,api.usa.gov,FALSE,analytics.usa.gov,api.usa.gov,FALSE,yes,--,
Site Scanner,app.buyaccessible.gov,TRUE,analytics.usa.gov,app.buyaccessible.gov,FALSE,yes,Why does SS detect DAP?,
Site Scanner,apply.pif.gov,TRUE,analytics.usa.gov,apply.pif.gov,FALSE,yes,Why does SS detect DAP?,
Site Scanner,apps.fas.gsa.gov,FALSE,analytics.usa.gov,apps.fas.gsa.gov,FALSE,yes,--,
Site Scanner,apps.gobiernousa.gov,TRUE,analytics.usa.gov,apps.gobiernousa.gov,FALSE,yes,Why does SS detect DAP?,
Site Scanner,apps.ocfo.gsa.gov,FALSE,analytics.usa.gov,apps.ocfo.gsa.gov,TRUE,yes,Why does SS not detect DAP?,redirect; this might be bad data from the analytics.usa.gov munging.  I don't see it in the original export.  
Site Scanner,apps.usa.gov,TRUE,analytics.usa.gov,apps.usa.gov,FALSE,yes,Why does SS detect DAP?,
Site Scanner,arm.fas.gsa.gov,TRUE,analytics.usa.gov,arm.fas.gsa.gov,TRUE,yes,--,
Site Scanner,asap.gsa.gov,FALSE,analytics.usa.gov,asap.gsa.gov,FALSE,yes,--,
Site Scanner,asis.search.usa.gov,FALSE,analytics.usa.gov,asis.search.usa.gov,FALSE,yes,--,
Site Scanner,ask.gsa.gov,FALSE,analytics.usa.gov,ask.gsa.gov,TRUE,yes,Why does SS not detect DAP?,"ask.gsa.gov redirects to ask.gsa.gov/login, which doesn't have DAP on it.  But they have put DAP on a bunch of children pages at ask.gsa.gov/x, ask.gsa.gov/y, which is why it's in the a.u.g export.  "
Site Scanner,aspdotnetstorefront.webshops.fas.gsa.gov,FALSE,analytics.usa.gov,aspdotnetstorefront.webshops.fas.gsa.gov,FALSE,yes,--,
Site Scanner,aspdotnetstorefront.webshopt.fas.gsa.gov,FALSE,analytics.usa.gov,aspdotnetstorefront.webshopt.fas.gsa.gov,FALSE,yes,--,
Site Scanner,atf-eregs-demo.app.cloud.gov,TRUE,analytics.usa.gov,atf-eregs-demo.app.cloud.gov,TRUE,yes,--,
Site Scanner,atf-eregs.18f.gov,TRUE,analytics.usa.gov,atf-eregs.18f.gov,TRUE,yes,--,
Site Scanner,atf-eregs.app.cloud.gov,TRUE,analytics.usa.gov,atf-eregs.app.cloud.gov,FALSE,yes,Why does SS detect DAP?,
Site Scanner,atul-docker-presentation.18f.gov,FALSE,analytics.usa.gov,atul-docker-presentation.18f.gov,FALSE,yes,--,
Site Scanner,autoauctions.gsa.gov,TRUE,analytics.usa.gov,autoauctions.gsa.gov,TRUE,yes,--,
Site Scanner,autoauctionsb.fas.gsa.gov,TRUE,analytics.usa.gov,autoauctionsb.fas.gsa.gov,TRUE,yes,--,
Site Scanner,autochoice.fas.gsa.gov,FALSE,analytics.usa.gov,autochoice.fas.gsa.gov,FALSE,yes,--,
Site Scanner,autochoice.gsa.gov,TRUE,analytics.usa.gov,autochoice.gsa.gov,FALSE,yes,Why does SS detect DAP?,
Site Scanner,automated-testing-playbook.18f.gov,FALSE,analytics.usa.gov,automated-testing-playbook.18f.gov,FALSE,yes,--,
Site Scanner,autovendor.fas.gsa.gov,FALSE,analytics.usa.gov,autovendor.fas.gsa.gov,FALSE,yes,--,
Site Scanner,before-you-ship.18f.gov,FALSE,analytics.usa.gov,before-you-ship.18f.gov,TRUE,yes,Why does SS not detect DAP?,"NO DAP, but it looks like maybe they just removed the code in the last week, which is why "
Site Scanner,benchmarks.gsa.gov,FALSE,analytics.usa.gov,benchmarks.gsa.gov,FALSE,yes,--,
Site Scanner,beta.fapiis.gov,FALSE,analytics.usa.gov,beta.fapiis.gov,FALSE,yes,--,
Site Scanner,beta.fpds.gov,FALSE,analytics.usa.gov,beta.fpds.gov,TRUE,yes,Why does SS not detect DAP?,
Site Scanner,beta.sam.gov,TRUE,analytics.usa.gov,beta.sam.gov,TRUE,yes,--,
Site Scanner,bi.cfo.gsa.gov,FALSE,analytics.usa.gov,bi.cfo.gsa.gov,FALSE,yes,--,
Site Scanner,blog.gobiernousa.gov,TRUE,analytics.usa.gov,blog.gobiernousa.gov,FALSE,yes,Why does SS detect DAP?,
Site Scanner,blog.usa.gov,TRUE,analytics.usa.gov,blog.usa.gov,TRUE,yes,--,
Site Scanner,blogging-guide.18f.gov,TRUE,analytics.usa.gov,blogging-guide.18f.gov,FALSE,yes,Why does SS detect DAP?,
Site Scanner,boise.18f.gov,FALSE,analytics.usa.gov,boise.18f.gov,FALSE,yes,--,
Site Scanner,brand.18f.gov,FALSE,analytics.usa.gov,brand.18f.gov,FALSE,yes,--,
Site Scanner,bsp.cio.gov,FALSE,analytics.usa.gov,bsp.cio.gov,FALSE,yes,--,
Site Scanner,buscador.usa.gov,TRUE,analytics.usa.gov,buscador.usa.gov,FALSE,yes,Why does SS detect DAP?,
Site Scanner,business.usa.gov,TRUE,analytics.usa.gov,business.usa.gov,FALSE,yes,Why does SS detect DAP?,
Site Scanner,businessusa.data.gov,TRUE,analytics.usa.gov,businessusa.data.gov,FALSE,yes,Why does SS detect DAP?,
Site Scanner,businessusa.gov,TRUE,analytics.usa.gov,businessusa.gov,FALSE,yes,Why does SS detect DAP?,
Site Scanner,buyaccessible.gov,TRUE,analytics.usa.gov,buyaccessible.gov,TRUE,yes,--,
Site Scanner,buyamerican.gov,TRUE,analytics.usa.gov,buyamerican.gov,FALSE,yes,Why does SS detect DAP?,
Site Scanner,c2.18f.gov,FALSE,analytics.usa.gov,c2.18f.gov,FALSE,yes,--,
Site Scanner,cabotp.gsa.gov,FALSE,analytics.usa.gov,cabotp.gsa.gov,FALSE,yes,--,
Site Scanner,calc-dev.app.cloud.gov,TRUE,analytics.usa.gov,calc-dev.app.cloud.gov,TRUE,yes,--,
Site Scanner,calc-staging.app.cloud.gov,TRUE,analytics.usa.gov,calc-staging.app.cloud.gov,FALSE,yes,Why does SS detect DAP?,
Site Scanner,calc.gsa.gov,TRUE,analytics.usa.gov,calc.gsa.gov,TRUE,yes,--,
Site Scanner,calendar.fpisc.gov,FALSE,analytics.usa.gov,calendar.fpisc.gov,FALSE,yes,--,
Site Scanner,calendar.gsa.gov,FALSE,analytics.usa.gov,calendar.gsa.gov,FALSE,yes,--,
Site Scanner,cao.gov,TRUE,analytics.usa.gov,cao.gov,TRUE,yes,--,
Site Scanner,cap.18f.gov,FALSE,analytics.usa.gov,cap.18f.gov,FALSE,yes,--,
Site Scanner,carbonfootprint.gsa.gov,TRUE,analytics.usa.gov,carbonfootprint.gsa.gov,FALSE,yes,Why does SS detect DAP?,
Site Scanner,cars.fas.gsa.gov,FALSE,analytics.usa.gov,cars.fas.gsa.gov,TRUE,yes,Why does SS not detect DAP?,
Site Scanner,catalog-bsp.data.gov,TRUE,analytics.usa.gov,catalog-bsp.data.gov,TRUE,yes,--,
Site Scanner,catalog-next.data.gov,FALSE,analytics.usa.gov,catalog-next.data.gov,FALSE,yes,--,
Site Scanner,catalog.data.gov,FALSE,analytics.usa.gov,catalog.data.gov,TRUE,yes,Why does SS not detect DAP?,
Site Scanner,cbca.gov,FALSE,analytics.usa.gov,cbca.gov,FALSE,yes,--,
Site Scanner,cfda.gov,FALSE,analytics.usa.gov,cfda.gov,FALSE,yes,--,
Site Scanner,cfo.fmis.gsa.gov,FALSE,analytics.usa.gov,cfo.fmis.gsa.gov,FALSE,yes,--,
Site Scanner,cfo.gov,TRUE,analytics.usa.gov,cfo.gov,TRUE,yes,--,
Site Scanner,cfo.gsa.gov,TRUE,analytics.usa.gov,cfo.gsa.gov,FALSE,yes,Why does SS detect DAP?,
Site Scanner,cg-06ab120d-836f-49a2-bc22-9dfb1585c3c6.app.cloud.gov,FALSE,analytics.usa.gov,cg-06ab120d-836f-49a2-bc22-9dfb1585c3c6.app.cloud.gov,FALSE,yes,--,
Site Scanner,cg-4ade7cd3-a036-4fb7-b1d5-bcef64cb3ddf.app.cloud.gov,FALSE,analytics.usa.gov,cg-4ade7cd3-a036-4fb7-b1d5-bcef64cb3ddf.app.cloud.gov,TRUE,yes,Why does SS not detect DAP?,
Site Scanner,cg-5ed222e2-1f91-42da-99b0-478c90badbb1.app.cloud.gov,FALSE,analytics.usa.gov,cg-5ed222e2-1f91-42da-99b0-478c90badbb1.app.cloud.gov,FALSE,yes,--,
Site Scanner,cg-88d42ca6-59d7-47e0-9500-4dd9251360b9.app.cloud.gov,TRUE,analytics.usa.gov,cg-88d42ca6-59d7-47e0-9500-4dd9251360b9.app.cloud.gov,TRUE,yes,--,
Site Scanner,cg-9341b8ea-025c-4fe2-aa6c-850edbebc499.app.cloud.gov,FALSE,analytics.usa.gov,cg-9341b8ea-025c-4fe2-aa6c-850edbebc499.app.cloud.gov,TRUE,yes,Why does SS not detect DAP?,
Site Scanner,cg-9e8debaf-b030-4825-a43c-cb2bc850c96c.app.cloud.gov,TRUE,analytics.usa.gov,cg-9e8debaf-b030-4825-a43c-cb2bc850c96c.app.cloud.gov,FALSE,yes,Why does SS detect DAP?,
Site Scanner,cg-a4aab09b-27cb-43d5-8163-08c22ba182d3.app.cloud.gov,TRUE,analytics.usa.gov,cg-a4aab09b-27cb-43d5-8163-08c22ba182d3.app.cloud.gov,TRUE,yes,--,
Site Scanner,cg-c79c82e9-5322-45a5-9100-6cd4b41a6cfd.app.cloud.gov,TRUE,analytics.usa.gov,cg-c79c82e9-5322-45a5-9100-6cd4b41a6cfd.app.cloud.gov,FALSE,yes,Why does SS detect DAP?,
Site Scanner,cg-ca533af2-85d8-48d5-b022-a488db3d069b.app.cloud.gov,FALSE,analytics.usa.gov,cg-ca533af2-85d8-48d5-b022-a488db3d069b.app.cloud.gov,FALSE,yes,--,
Site Scanner,cg-dae9433e-23a0-46d7-bafb-dc79d2d3756c.app.cloud.gov,FALSE,analytics.usa.gov,cg-dae9433e-23a0-46d7-bafb-dc79d2d3756c.app.cloud.gov,FALSE,yes,--,
Site Scanner,cg-f7a6dbc1-b791-40b1-9eeb-e725679c82c9.app.cloud.gov,TRUE,analytics.usa.gov,cg-f7a6dbc1-b791-40b1-9eeb-e725679c82c9.app.cloud.gov,TRUE,yes,--,
Site Scanner,cg-f9350b45-637a-46d0-8c53-dd40b1eadaac.app.cloud.gov,FALSE,analytics.usa.gov,cg-f9350b45-637a-46d0-8c53-dd40b1eadaac.app.cloud.gov,FALSE,yes,--,
Site Scanner,challenge-portal-dev.app.cloud.gov,FALSE,analytics.usa.gov,challenge-portal-dev.app.cloud.gov,TRUE,yes,Why does SS not detect DAP?,
Site Scanner,challenge.gov,TRUE,analytics.usa.gov,challenge.gov,TRUE,yes,--,
Site Scanner,charlie.18f.gov,FALSE,analytics.usa.gov,charlie.18f.gov,FALSE,yes,--,
Site Scanner,chat.18f.gov,FALSE,analytics.usa.gov,chat.18f.gov,FALSE,yes,--,
Site Scanner,cic.gsa.gov,FALSE,analytics.usa.gov,cic.gsa.gov,TRUE,yes,Why does SS not detect DAP?,
Site Scanner,cio.gov,TRUE,analytics.usa.gov,cio.gov,TRUE,yes,--,
Site Scanner,ciouniversity.cio.gov,FALSE,analytics.usa.gov,ciouniversity.cio.gov,FALSE,yes,--,
Site Scanner,cities.data.gov,TRUE,analytics.usa.gov,cities.data.gov,FALSE,yes,Why does SS detect DAP?,
Site Scanner,citizenscience.gov,TRUE,analytics.usa.gov,citizenscience.gov,TRUE,yes,--,
Site Scanner,climate-data-user-study.18f.gov,FALSE,analytics.usa.gov,climate-data-user-study.18f.gov,FALSE,yes,--,
Site Scanner,climate.data.gov,TRUE,analytics.usa.gov,climate.data.gov,FALSE,yes,Why does SS detect DAP?,
Site Scanner,cloud.cio.gov,TRUE,analytics.usa.gov,cloud.cio.gov,TRUE,yes,--,
Site Scanner,cloud.gov,TRUE,analytics.usa.gov,cloud.gov,TRUE,yes,--,
Site Scanner,cm-jira.usa.gov,FALSE,analytics.usa.gov,cm-jira.usa.gov,FALSE,yes,--,
Site Scanner,cmls.gsa.gov,TRUE,analytics.usa.gov,cmls.gsa.gov,TRUE,yes,--,
Site Scanner,cmp.gsa.gov,FALSE,analytics.usa.gov,cmp.gsa.gov,FALSE,yes,--,
Site Scanner,cms.permits.performance.gov,FALSE,analytics.usa.gov,cms.permits.performance.gov,FALSE,yes,--,
Site Scanner,cms7.permits.performance.gov,TRUE,analytics.usa.gov,cms7.permits.performance.gov,TRUE,yes,--,
Site Scanner,code.gov,TRUE,analytics.usa.gov,code.gov,TRUE,yes,--,
Site Scanner,coe.gsa.gov,FALSE,analytics.usa.gov,coe.gsa.gov,TRUE,yes,Why does SS not detect DAP?,
Site Scanner,cofar.cfo.gov,FALSE,analytics.usa.gov,cofar.cfo.gov,FALSE,yes,--,
Site Scanner,cognos.pbs.gsa.gov,FALSE,analytics.usa.gov,cognos.pbs.gsa.gov,FALSE,yes,--,
Site Scanner,compliance-viewer.18f.gov,FALSE,analytics.usa.gov,compliance-viewer.18f.gov,FALSE,yes,--,
Site Scanner,components.designsystem.digital.gov,FALSE,analytics.usa.gov,components.designsystem.digital.gov,FALSE,yes,--,
Site Scanner,components.standards.usa.gov,FALSE,analytics.usa.gov,components.standards.usa.gov,FALSE,yes,--,
Site Scanner,computersforlearning.gov,TRUE,analytics.usa.gov,computersforlearning.gov,TRUE,yes,--,
Site Scanner,concur.gsa.gov,FALSE,analytics.usa.gov,concur.gsa.gov,FALSE,yes,--,
Site Scanner,conectate.gobiernousa.gov,TRUE,analytics.usa.gov,conectate.gobiernousa.gov,TRUE,yes,--,
Site Scanner,conexus-cert.gsa.gov,FALSE,analytics.usa.gov,conexus-cert.gsa.gov,FALSE,yes,--,
Site Scanner,conexus.gsa.gov,FALSE,analytics.usa.gov,conexus.gsa.gov,FALSE,yes,--,
Site Scanner,connect.digitalgov.gov,FALSE,analytics.usa.gov,connect.digitalgov.gov,FALSE,yes,--,
Site Scanner,connect.gov,TRUE,analytics.usa.gov,connect.gov,TRUE,yes,--,
Site Scanner,connect.gsa.gov,FALSE,analytics.usa.gov,connect.gsa.gov,FALSE,yes,--,
Site Scanner,connect.usa.gov,TRUE,analytics.usa.gov,connect.usa.gov,TRUE,yes,--,
Site Scanner,connectionsii-clinchecker.fas.gsa.gov,FALSE,analytics.usa.gov,connectionsii-clinchecker.fas.gsa.gov,FALSE,yes,--,
Site Scanner,consumer.data.gov,TRUE,analytics.usa.gov,consumer.data.gov,FALSE,yes,Why does SS detect DAP?,
Site Scanner,consumeraction.gov,TRUE,analytics.usa.gov,consumeraction.gov,FALSE,yes,Why does SS detect DAP?,
Site Scanner,consumers.data.gov,TRUE,analytics.usa.gov,consumers.data.gov,FALSE,yes,Why does SS detect DAP?,
Site Scanner,content-guide.18f.gov,TRUE,analytics.usa.gov,content-guide.18f.gov,TRUE,yes,--,
Site Scanner,content.fai.gov,FALSE,analytics.usa.gov,content.fai.gov,FALSE,yes,--,
Site Scanner,content.gsaadvantage.fas.gsa.gov,FALSE,analytics.usa.gov,content.gsaadvantage.fas.gsa.gov,FALSE,yes,--,
Site Scanner,continua11y.18f.gov,FALSE,analytics.usa.gov,continua11y.18f.gov,FALSE,yes,--,
Site Scanner,contractdirectory.gov,TRUE,analytics.usa.gov,contractdirectory.gov,TRUE,yes,--,
Site Scanner,contracting-cookbook.18f.gov,FALSE,analytics.usa.gov,contracting-cookbook.18f.gov,FALSE,yes,--,
Site Scanner,cops.fas.gsa.gov,FALSE,analytics.usa.gov,cops.fas.gsa.gov,FALSE,yes,--,
Site Scanner,corporateapps.gsa.gov,FALSE,analytics.usa.gov,corporateapps.gsa.gov,FALSE,yes,--,
Site Scanner,counties.data.gov,TRUE,analytics.usa.gov,counties.data.gov,FALSE,yes,Why does SS detect DAP?,
Site Scanner,cpars.cpars.gov,FALSE,analytics.usa.gov,cpars.cpars.gov,TRUE,yes,Why does SS not detect DAP?,
Site Scanner,cpars.gov,TRUE,analytics.usa.gov,cpars.gov,TRUE,yes,--,
Site Scanner,cpsearch.fas.gsa.gov,FALSE,analytics.usa.gov,cpsearch.fas.gsa.gov,TRUE,yes,Why does SS not detect DAP?,
Site Scanner,crime-data-explorer-beta.fr.cloud.gov,TRUE,analytics.usa.gov,crime-data-explorer-beta.fr.cloud.gov,TRUE,yes,--,
Site Scanner,crime-data-explorer-noe.fr.cloud.gov,TRUE,analytics.usa.gov,crime-data-explorer-noe.fr.cloud.gov,FALSE,yes,Why does SS detect DAP?,
Site Scanner,crime-data-explorer.fr.cloud.gov,TRUE,analytics.usa.gov,crime-data-explorer.fr.cloud.gov,TRUE,yes,--,
Site Scanner,crt-portal-django-prod.app.cloud.gov,TRUE,analytics.usa.gov,crt-portal-django-prod.app.cloud.gov,TRUE,yes,--,
Site Scanner,css-staging.d2d.gsa.gov,FALSE,analytics.usa.gov,css-staging.d2d.gsa.gov,FALSE,yes,--,
Site Scanner,css.d2d.gsa.gov,FALSE,analytics.usa.gov,css.d2d.gsa.gov,FALSE,yes,--,
Site Scanner,cxo.dialogue.cao.gov,FALSE,analytics.usa.gov,cxo.dialogue.cao.gov,FALSE,yes,--,
Site Scanner,cxo.dialogue2.cao.gov,FALSE,analytics.usa.gov,cxo.dialogue2.cao.gov,FALSE,yes,--,
Site Scanner,d2d.gsa.gov,FALSE,analytics.usa.gov,d2d.gsa.gov,FALSE,yes,--,
Site Scanner,dap.digitalgov.gov,FALSE,analytics.usa.gov,dap.digitalgov.gov,FALSE,yes,--,
Site Scanner,dashboard-labs.data.gov,FALSE,analytics.usa.gov,dashboard-labs.data.gov,FALSE,yes,--,
Site Scanner,data.gov,TRUE,analytics.usa.gov,data.gov,TRUE,yes,--,
Site Scanner,data.permits.performance.gov,FALSE,analytics.usa.gov,data.permits.performance.gov,FALSE,yes,--,
Site Scanner,datacenters.cio.gov,TRUE,analytics.usa.gov,datacenters.cio.gov,TRUE,yes,--,
Site Scanner,debits.fas.gsa.gov,FALSE,analytics.usa.gov,debits.fas.gsa.gov,FALSE,yes,--,
Site Scanner,debitsb.fas.gsa.gov,FALSE,analytics.usa.gov,debitsb.fas.gsa.gov,FALSE,yes,--,
Site Scanner,demo.10x.gsa.gov,FALSE,analytics.usa.gov,demo.10x.gsa.gov,FALSE,yes,--,
Site Scanner,demo.accessibility.digital.gov,TRUE,analytics.usa.gov,demo.accessibility.digital.gov,FALSE,yes,Why does SS detect DAP?,
Site Scanner,demo.cic.gsa.gov,FALSE,analytics.usa.gov,demo.cic.gsa.gov,FALSE,yes,--,
Site Scanner,demo.digital.gov,TRUE,analytics.usa.gov,demo.digital.gov,FALSE,yes,Why does SS detect DAP?,
Site Scanner,demo.digitalgov.gov,TRUE,analytics.usa.gov,demo.digitalgov.gov,FALSE,yes,Why does SS detect DAP?,
Site Scanner,demo.fedramp.gov,TRUE,analytics.usa.gov,demo.fedramp.gov,TRUE,yes,--,
Site Scanner,demo.pic.gov,TRUE,analytics.usa.gov,demo.pic.gov,FALSE,yes,Why does SS detect DAP?,
Site Scanner,demo.plainlanguage.gov,TRUE,analytics.usa.gov,demo.plainlanguage.gov,FALSE,yes,Why does SS detect DAP?,
Site Scanner,demo.pra.digital.gov,TRUE,analytics.usa.gov,demo.pra.digital.gov,FALSE,yes,Why does SS detect DAP?,
Site Scanner,demo.sftool.gov,FALSE,analytics.usa.gov,demo.sftool.gov,FALSE,yes,--,
Site Scanner,design-principles-guide.18f.gov,FALSE,analytics.usa.gov,design-principles-guide.18f.gov,FALSE,yes,--,
Site Scanner,designsystem.digital.gov,TRUE,analytics.usa.gov,designsystem.digital.gov,TRUE,yes,--,
Site Scanner,designsystem.sam.gov,FALSE,analytics.usa.gov,designsystem.sam.gov,FALSE,yes,--,
Site Scanner,dev-nrrd.app.cloud.gov,TRUE,analytics.usa.gov,dev-nrrd.app.cloud.gov,TRUE,yes,--,
Site Scanner,developer.data.gov,TRUE,analytics.usa.gov,developer.data.gov,FALSE,yes,Why does SS detect DAP?,
Site Scanner,developers.code.gov,TRUE,analytics.usa.gov,developers.code.gov,TRUE,yes,--,
Site Scanner,dhatest.ecpic.gov,FALSE,analytics.usa.gov,dhatest.ecpic.gov,TRUE,yes,Why does SS not detect DAP?,
Site Scanner,dhsadvantage.gsa.gov,FALSE,analytics.usa.gov,dhsadvantage.gsa.gov,TRUE,yes,Why does SS not detect DAP?,
Site Scanner,digital-acquisition-playbook.18f.gov,FALSE,analytics.usa.gov,digital-acquisition-playbook.18f.gov,FALSE,yes,--,
Site Scanner,digital.gov,TRUE,analytics.usa.gov,digital.gov,TRUE,yes,--,
