Source,domain,DAP Present?,source,domain,DAP Present?,Present in both results?,To research,Notes
Site Scanner,1.usa.gov,FALSE,analytics.usa.gov,1.usa.gov,TRUE,yes,Why does SS not detect DAP?,"DAP is there, no redirect"
Site Scanner,10x.gsa.gov,TRUE,analytics.usa.gov,10x.gsa.gov,TRUE,yes,--,
Site Scanner,18f.gov,TRUE,analytics.usa.gov,18f.gov,FALSE,yes,Why does SS detect DAP?,it redirects to a page that has dap but is on a different domain
Site Scanner,18f.gsa.gov,TRUE,analytics.usa.gov,18f.gsa.gov,TRUE,yes,--,
Site Scanner,311-accessibilitytestingandimprovements.app.cloud.gov,FALSE,analytics.usa.gov,311-accessibilitytestingandimprovements.app.cloud.gov,FALSE,yes,--,
Site Scanner,357-incomplete-years.app.cloud.gov,FALSE,analytics.usa.gov,357-incomplete-years.app.cloud.gov,FALSE,yes,--,
Site Scanner,365-revenueovertimechart.app.cloud.gov,FALSE,analytics.usa.gov,365-revenueovertimechart.app.cloud.gov,FALSE,yes,--,
Site Scanner,367-update-how-it-to-how-revenue.app.cloud.gov,FALSE,analytics.usa.gov,367-update-how-it-to-how-revenue.app.cloud.gov,FALSE,yes,--,
Site Scanner,421-422-423-databasechanges.app.cloud.gov,FALSE,analytics.usa.gov,421-422-423-databasechanges.app.cloud.gov,FALSE,yes,--,
Site Scanner,a130.cio.gov,TRUE,analytics.usa.gov,a130.cio.gov,FALSE,yes,Why does SS detect DAP?,
Site Scanner,aaap.gsa.gov,FALSE,analytics.usa.gov,aaap.gsa.gov,FALSE,yes,--,
Site Scanner,aaapextsb.pbs.gsa.gov,FALSE,analytics.usa.gov,aaapextsb.pbs.gsa.gov,FALSE,yes,--,
Site Scanner,aaapintsb.pbs.gsa.gov,FALSE,analytics.usa.gov,aaapintsb.pbs.gsa.gov,FALSE,yes,--,
Site Scanner,aapi.data.gov,TRUE,analytics.usa.gov,aapi.data.gov,FALSE,yes,Why does SS detect DAP?,
Site Scanner,aas.gsa.gov,FALSE,analytics.usa.gov,aas.gsa.gov,FALSE,yes,--,
Site Scanner,accessibility.18f.gov,FALSE,analytics.usa.gov,accessibility.18f.gov,FALSE,yes,--,
Site Scanner,accessibility.digital.gov,TRUE,analytics.usa.gov,accessibility.digital.gov,TRUE,yes,--,
Site Scanner,accessibility.gov,TRUE,analytics.usa.gov,accessibility.gov,FALSE,yes,Why does SS detect DAP?,
Site Scanner,ack.usaccess.gsa.gov,FALSE,analytics.usa.gov,ack.usaccess.gsa.gov,FALSE,yes,--,
Site Scanner,acqstack-journeymap.18f.gov,FALSE,analytics.usa.gov,acqstack-journeymap.18f.gov,FALSE,yes,--,
Site Scanner,acquisition-uat.gsa.gov,TRUE,analytics.usa.gov,acquisition-uat.gsa.gov,TRUE,yes,--,
Site Scanner,acquisition.gov,TRUE,analytics.usa.gov,acquisition.gov,TRUE,yes,--,
Site Scanner,admin-catalog.data.gov,FALSE,analytics.usa.gov,admin-catalog.data.gov,TRUE,yes,Why does SS not detect DAP?,redirect
Site Scanner,ads.18f.gov,FALSE,analytics.usa.gov,ads.18f.gov,FALSE,yes,--,
Site Scanner,advantage.gsa.gov,FALSE,analytics.usa.gov,advantage.gsa.gov,FALSE,yes,--,
Site Scanner,afadvantage.gov,FALSE,analytics.usa.gov,afadvantage.gov,TRUE,yes,Why does SS not detect DAP?,"super odd. DAP is on the landing page, but my redirect extension says 404 after a refresh.  It's possible that SS thinks it's a 404"
Site Scanner,afm.fmi.gov,FALSE,analytics.usa.gov,afm.fmi.gov,FALSE,yes,--,
Site Scanner,ag.data.gov,TRUE,analytics.usa.gov,ag.data.gov,FALSE,yes,Why does SS detect DAP?,
Site Scanner,agency.ecpic.gov,FALSE,analytics.usa.gov,agency.ecpic.gov,FALSE,yes,--,
Site Scanner,agencypricer.wits3.gsa.gov,FALSE,analytics.usa.gov,agencypricer.wits3.gsa.gov,FALSE,yes,--,
Site Scanner,agile-bpa.18f.gov,FALSE,analytics.usa.gov,agile-bpa.18f.gov,FALSE,yes,--,
