agency,bureau,website,public
Department of Agriculture,Center for Nutrition Policy and Promotion,choosemyplate.gov,yes
Department of Agriculture,Economic Research Service,ers.usda.gov,yes
Department of Agriculture,Office of the Secretary,farmers.gov,yes
Department of Agriculture,Office of the Secretary,search.farmers.gov,yes
Department of Agriculture,Office of the Chief Information Officer,usda.gov,yes
