Status,Current Name,Current Description,Current Field ID,Example,Proposed Name,Proposed Description,Proposed Field ID,Example
new field,----,----,----,----,Name,"The hostname of the Final URL, with www. removed if present",name,webforms.fec.gov
field ID changed,Target URL,URL scanned (Note that the `Target URL` and `Target URL - Base Website` are the same),target_url,webforms.fec.gov,Initial URL,URL ingested to begin a scan,initial_url,https://webforms.fec.gov
field ID changed,Target URL - Base Domain,Base Domain of the Target URL,target_url_domain,fec.gov,Initial Domain,Domain of the Initial URL,initial_domain,webforms.fec.gov
new field,----,----,----,----,Initial Base Domain,Base Domain of the Initial URL,initial_base_domain,fec.gov
field ID changed,Target URL - Top Level Domain,Top Level Domain of the Target URL,target_url_top_level_domain,.gov,Initial Top Level Domain,Top Level Domain of the Initial URL,initial_top_level_domain,.gov
field ID changed,Final URL,"Final URL that resolves after any redirects [301, 302, etc.]",final_url,https://webforms.fec.gov/,URL,"Final URL that resolves after any redirects, which is then scanned",url,https://webforms.fec.gov/
field ID changed,Final URL - Base Domain,Base Domain of the Final URL,final_url_domain,fec.gov,Domain,Domain ,domain,webforms.fec.gov
field ID changed,Final URL - Top Level Domain,Top Level Domain of the Final URL,final_url_top_level_domain,gov,Base Domain,Base Domain ,base_domain,fec.gov
field ID changed,Final URL - Base Website,Base Website of the Final URL,final_url_website,webforms.fec.gov,Top Level Domain,Top Level Domain,top_level_domain,gov
new methodology,Target URL - Redirects,Does the Target URL redirect?,target_url_redirects,FALSE,Redirects,Whether Name is different from the Initial Domain,redirects,TRUE
field ID changed,Final URL - Live,Does the Final URL return a 2** response?,final_url_live,TRUE,Live,Whether the URL returns a 2** status code,live,TRUE
field ID changed,Final URL - Status Code,Server status code of the Final URL,final_url_status_code,200,Status Code,HTTP status code,status_code,200
field ID changed,Final URL - Media Type,Media type of the Final URL,final_url_media_type,text/html,Media Type,Media type,media_type,text/html
deprecated,Final URL - Same Base Domain As Target URL,"Is the Final URL on the same base domain as the Target URL? (e.g. www.18f.gov redirects to 18f.gsa.gov, on a different base domain)",final_url_same_domain,TRUE,----,----,----,----
deprecated,Final URL - Same Base Website As Target URL,"Does the Final URL have the same base website as the Target URL? (e.g. www.gsaauctions.gov redirects to www.gsaauctions.gov/somepage, on the same base website)",final_url_same_website,TRUE,----,----,----,----
field ID changed,Target URL - Base Domain Agency Owner,Agency owner of the Target URL Base Domain,target_url_agency_owner,Federal Election Commission,Agency,Agency owner of the Initial Base Domain,agency,Federal Election Commission
