Status,Current Name,Current Description,Current Field ID,Example,Proposed Name,Proposed Description,Proposed Field ID,Example
field ID changed,Target URL - Base Domain Bureau Owner,Bureau owner of the Target URL Base Domain,target_url_bureau_owner,Federal Election Commission,Bureau,Bureau owner of the Initial Base Domain,bureau,Federal Election Commission
field ID changed,Target URL - Base Domain Branch,Branch of government of the agency owner of the Target URL Base Domain,target_url_branch,Executive,Branch,Brach of government of the agency owner of the Initial Base Domain,branch,Executive
field ID changed,Target URL - 404 Test,"Does the Target URL return 404s correctly (TRUE), or give a misleading 200 code (FALSE)?",target_url_404_test,TRUE,404 Test,Whether the Initial Domain return 404s correctly (TRUE) or gives a misleading 2** code (FALSE0   ,404_test,TRUE
no change,Target URL - Data Source,Which source datasets included this Target URL?,source_list,"[""dap"",""pulse"",""omb_idea""]",Data Source,Which source datasets included this Initial URL?,source_list,"[""dap"",""pulse"",""omb_idea""]"
no change,Target URL - Public,Whether a website should be considered public-facing in regards to OMB/21st Century IDEA implementation,public,TRUE,Public,Whether a website should be considered public-facing in regards to OMB/21st Century IDEA implementation,public,TRUE
no change,Scan Status - Date,Scan date/time (when data is written),scan_date,2024-12-20T02:09:27.170Z,Scan Status - Date,Scan date/time (when data is written),scan_date,2024-12-20T02:09:27.170Z
no change,Scan Status - Primary,"Status of the Primary Scan [Completed, Timeout, DNS resolution error, Invalid SSL cert, Connection refused, Connection reset, Unknown error]",primary_scan_status,completed,Scan Status - Primary,"Status of the Primary Scan [Completed, Timeout, DNS resolution error, Invalid SSL cert, Connection refused, Connection reset, Unknown error]",primary_scan_status,completed
no change,Scan Status - Accessibility,"Status of the Accessibility Scan [Completed, Timeout, DNS resolution error, Invalid SSL cert, Connection refused, Connection reset, Unknown error]",accessibility_scan_status,completed,Scan Status - Accessibility,"Status of the Accessibility Scan [Completed, Timeout, DNS resolution error, Invalid SSL cert, Connection refused, Connection reset, Unknown error]",accessibility_scan_status,completed
no change,Scan Status - DNS,"Status of the DNS Scan [Completed, Timeout, DNS resolution error, Invalid SSL cert, Connection refused, Connection reset, Unknown error]",dns_scan_status,completed,Scan Status - DNS,"Status of the DNS Scan [Completed, Timeout, DNS resolution error, Invalid SSL cert, Connection refused, Connection reset, Unknown error]",dns_scan_status,completed
no change,Scan Status - Not Found,"Status of the 404 Test Scan [Completed, Timeout, DNS resolution error, Invalid SSL cert, Connection refused, Connection reset, Unknown error]",not_found_scan_status,completed,Scan Status - Not Found,"Status of the 404 Test Scan [Completed, Timeout, DNS resolution error, Invalid SSL cert, Connection refused, Connection reset, Unknown error]",not_found_scan_status,completed
no change,Scan Status - Performance,"Status of the Performance Scan [Completed, Timeout, DNS resolution error, Invalid SSL cert, Connection refused, Connection reset, Unknown error]",performance_scan_status,completed,Scan Status - Performance,"Status of the Performance Scan [Completed, Timeout, DNS resolution error, Invalid SSL cert, Connection refused, Connection reset, Unknown error]",performance_scan_status,completed
no change,Scan Status - Robots.txt,"Status of the Robots.txt Scan [Completed, Timeout, DNS resolution error, Invalid SSL cert, Connection refused, Connection reset, Unknown error]",robots_txt_scan_status,completed,Scan Status - Robots.txt,"Status of the Robots.txt Scan [Completed, Timeout, DNS resolution error, Invalid SSL cert, Connection refused, Connection reset, Unknown error]",robots_txt_scan_status,completed
no change,Scan Status - Security,"Status of the Security Scan [Completed, Timeout, DNS resolution error, Invalid SSL cert, Connection refused, Connection reset, Unknown error]",security_scan_status,completed,Scan Status - Security,"Status of the Security Scan [Completed, Timeout, DNS resolution error, Invalid SSL cert, Connection refused, Connection reset, Unknown error]",security_scan_status,completed
no change,Scan Status - Sitemap.xml,"Status of the Sitemap.xml Scan [Completed, Timeout, DNS resolution error, Invalid SSL cert, Connection refused, Connection reset, Unknown error]",sitemap_xml_scan_status,completed,Scan Status - Sitemap.xml,"Status of the Sitemap.xml Scan [Completed, Timeout, DNS resolution error, Invalid SSL cert, Connection refused, Connection reset, Unknown error]",sitemap_xml_scan_status,completed
no change,DNS - IPv6,Presence of a DNS AAAA record,ipv6,TRUE,DNS - IPv6,Presence of a DNS AAAA record,ipv6,TRUE
no change,DNS - Hostname,"Domain of underlying system, which often suggests use of a cloud or CDN provider",hostname,amazonaws.com,DNS - Hostname,"Domain of underlying system, which often suggests use of a cloud or CDN provider",hostname,amazonaws.com
no change,Infrastructure - CMS Provider,"Content management system (currently Adobe, DNN, Drupal, Joomla, Sharepoint, Percussion, Silverstripe, Wordpress)",cms,Drupal,Infrastructure - CMS Provider,"Content management system (currently Adobe, DNN, Drupal, Joomla, Sharepoint, Percussion, Silverstripe, Wordpress)",cms,Drupal
no change,Infrastructure - Login Provider,Name of detected login service,login_provider,"id.me,login.gov",Infrastructure - Login Provider,Name of detected login service,login_provider,"id.me,login.gov"
no change,Infrastructure - Login Detected,List of login indicators detected,login,"["">Sign In<""]",Infrastructure - Login Detected,List of login indicators detected,login,"["">Sign In<""]"
no change,Infrastructure - Site Search Detected,Is a site search functionality detected?,site_search,TRUE,Infrastructure - Site Search Detected,Is a site search functionality detected?,site_search,TRUE
no change,Infrastructure - Search.gov Detected,Is the use of Search.gov detected?,searchgov,TRUE,Infrastructure - Search.gov Detected,Is the use of Search.gov detected?,searchgov,TRUE
no change,Infrastructure - DAP Detected,Is the Digital Analytics Program (DAP) tag detected?,dap_detected,FALSE,Infrastructure - DAP Detected,Is the Digital Analytics Program (DAP) tag detected?,dap_detected,FALSE
no change,Infrastructure - DAP Version,Version number of the DAP snippet,dap_version,20241218 v8.5 - GA4,Infrastructure - DAP Version,Version number of the DAP snippet,dap_version,20241218 v8.5 - GA4
no change,Infrastructure - DAP Parameters,List of DAP parameters detected,dap_parameters,"G-QTKLZK8R7K,UA-19138737-1,G-CSLL4ZEK4L",Infrastructure - DAP Parameters,List of DAP parameters detected,dap_parameters,"G-QTKLZK8R7K,UA-19138737-1,G-CSLL4ZEK4L"
no change,Infrastructure - Third Party Service Domains,List of distinct third party domains detected,third_party_service_domains,"[""code.jquery.com""]",Infrastructure - Third Party Service Domains,List of distinct third party domains detected,third_party_service_domains,"[""code.jquery.com""]"
no change,Infrastructure - Third Party Service URLs,third_party_service_urls,List of distinct third party urls detected,"[""https://code.jquery.com/jquery-3.7.1.js"",""https://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css"",""https://code.jquery.com/ui/1.13.2/jquery-ui.js""]",Infrastructure - Third Party Service URLs,third_party_service_urls,List of distinct third party urls detected,"[""https://code.jquery.com/jquery-3.7.1.js"",""https://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css"",""https://code.jquery.com/ui/1.13.2/jquery-ui.js""]"
no change,Infrastructure - Third Party Service Count,Count of distinct third party domains detected,third_party_service_count,1,Infrastructure - Third Party Service Count,Count of distinct third party domains detected,third_party_service_count,1
no change,Infrastructure - Cookie Domains,List of domains associated with each cookie sent by a server,cookie_domains,"[""webforms.fec.gov""]",Infrastructure - Cookie Domains,List of domains associated with each cookie sent by a server,cookie_domains,"[""webforms.fec.gov""]"
no change,Mobile - Viewport Meta Tag Detected,Is there a viewport meta tag in the <head>; does it contain a content attribute; does the content attribute's value contain the text 'width='?,viewport_meta_tag,TRUE,Mobile - Viewport Meta Tag Detected,Is there a viewport meta tag in the <head>; does it contain a content attribute; does the content attribute's value contain the text 'width='?,viewport_meta_tag,TRUE
no change,Performance - Cumulative Layout Shift,"Performance indicator that measures how much layouts shift for a user while the page loads for a user, expressed by a layout shift score",cumulative_layout_shift,0,Performance - Cumulative Layout Shift,"Performance indicator that measures how much layouts shift for a user while the page loads for a user, expressed by a layout shift score",cumulative_layout_shift,0
no change,Performance - Largest Contentful Paint,Performance indicator that counts in milliseconds when what is likely the main content on the page loads,largest_contentful_paint,198.3999999,Performance - Largest Contentful Paint,Performance indicator that counts in milliseconds when what is likely the main content on the page loads,largest_contentful_paint,198.3999999
no change,Required Links - URL,"Presence of certain character strings in the URL of a hyperlink, suggesting a required link (per digital.gov/resources/required-web-content-and-links) or a link to a Spanish-language site or section",required_links_url,"[""about"",""fear"",""inspector"",""privacy"",""usa.gov"",""espanol"",""/es""]",Required Links - URL,"Presence of certain character strings in the URL of a hyperlink, suggesting a required link (per digital.gov/resources/required-web-content-and-links) or a link to a Spanish-language site or section",required_links_url,"[""about"",""fear"",""inspector"",""privacy"",""usa.gov"",""espanol"",""/es""]"
no change,Required Links - Text,"Presence of certain character strings in any hyperlinked text, suggesting a required link (per digital.gov/resources/required-web-content-and-links) or a link to a Spanish-language site or section",required_links_text,"[""accessibility"",""budget and performance"",""no fear act"",""foia"",""freedom of information act"",""inspector general"",""privacy policy"",""usa.gov"",""español""]",Required Links - Text,"Presence of certain character strings in any hyperlinked text, suggesting a required link (per digital.gov/resources/required-web-content-and-links) or a link to a Spanish-language site or section",required_links_text,"[""accessibility"",""budget and performance"",""no fear act"",""foia"",""freedom of information act"",""inspector general"",""privacy policy"",""usa.gov"",""español""]"
no change,Security - HTTPS Required,Whether the Final URL enforces HTTPS,https_enforced,TRUE,Security - HTTPS Required,Whether the Final URL enforces HTTPS,https_enforced,TRUE
no change,Security - HSTS Preloaded,Whether the Final URL domain is preloaded for HSTS,hsts_preloaded,FALSE,Security - HSTS Preloaded,Whether the Final URL domain is preloaded for HSTS,hsts_preloaded,FALSE
no change,SEO - title,Meta page title,title,Online Webforms,SEO - title,Meta page title,title,Online Webforms
no change,SEO - description,Meta page description,description,"FEC information on electronic filing, including how to get a password, filing software, mandatory electronic filing threshold, ways to file electronically,",SEO - description,Meta page description,description,"FEC information on electronic filing, including how to get a password, filing software, mandatory electronic filing threshold, ways to file electronically,"
no change,SEO - keywords,Meta page keywords,keywords,"Elections, Voting",SEO - keywords,Meta page keywords,keywords,"Elections, Voting"
no change,Open Graph - og:title,Open Graph page title,og_title,Online Webforms,Open Graph - og:title,Open Graph page title,og_title,Online Webforms
no change,Open Graph - og:description,Open Graph description,og_description,"FEC information on electronic filing, including how to get a password, filing software, mandatory electronic filing threshold, ways to file electronically,",Open Graph - og:description,Open Graph description,og_description,"FEC information on electronic filing, including how to get a password, filing software, mandatory electronic filing threshold, ways to file electronically,"
no change,Open Graph - article:published_time,Open Graph article published time,og_article_published,2023-11-17T01:24:48.000Z,Open Graph - article:published_time,Open Graph article published time,og_article_published,2023-11-17T01:24:48.000Z
no change,Open Graph - article:modified_time,Open Graph article modified time,og_article_modified,2024-12-12T17:00:00.000Z,Open Graph - article:modified_time,Open Graph article modified time,og_article_modified,2024-12-12T17:00:00.000Z
no change,Open Graph - og:image,Open Graph image link,og_image,https://www.fec.gov/sites/default/files/2021-04/usdea_logo.png,Open Graph - og:image,Open Graph image link,og_image,https://www.fec.gov/sites/default/files/2021-04/usdea_logo.png
no change,Open Graph - og:type,Open Graph type tag,og_type,website,Open Graph - og:type,Open Graph type tag,og_type,website
no change,Open Graph - og:url,Open Graph object URL,og_url,https://www.fec.gov/,Open Graph - og:url,Open Graph object URL,og_url,https://www.fec.gov/
no change,Other Tags - Canonical Link,Canonical URL HTML element,canonical_link,https://www.fec.gov/,Other Tags - Canonical Link,Canonical URL HTML element,canonical_link,https://www.fec.gov/
no change,Other Tags - Language,Meta language tag,language,en,Other Tags - Language,Meta language tag,language,en
no change,Other Tags - Language Links,HTML link attributes for the langauge of linked pages,language_link,en,Other Tags - Language Links,HTML link attributes for the langauge of linked pages,language_link,en
no change,Other Tags - Main Element Detected,Presence of `<main>` element,main_element_present,FALSE,Other Tags - Main Element Detected,Presence of `<main>` element,main_element_present,FALSE
no change,Robots.txt - Detected,Is the `robots_txt_final_url` live (has a 2xx code) and is its entire path `/robots.txt`? (Note that a robots.txt file that redirects to a subdirectory would then not count given that the protocol appears to require that the file live in the top directory),robots_txt_detected,FALSE,Robots.txt - Detected,Is the `robots_txt_final_url` live (has a 2xx code) and is its entire path `/robots.txt`? (Note that a robots.txt file that redirects to a subdirectory would then not count given that the protocol appears to require that the file live in the top directory),robots_txt_detected,FALSE
deprecated,Robots.txt - Target URL - Redirects,Does the `robots.txt` Target URL Redirect?,robots_txt_target_url_redirects,FALSE,----,----,----,----
field ID changed,Robots.txt - Final URL,"`Robots.txt` Final URL after redirects (301, 302, etc.)",robots_txt_final_url,https://webforms.fec.gov/robots.txt,Robots.txt - Final URL,"`Robots.txt` Final URL after redirects (301, 302, etc.)",robots_txt_url,https://webforms.fec.gov/robots.txt
deprecated,Robots.txt - Final URL - Live,Does the `robots.txt` Final URL return a 2** response?,robots_txt_final_url_live,FALSE,----,----,----,----
field ID changed,Robots.txt - Final URL - Status Code,Server status code of the `robots.txt` Final URL,robots_txt_final_url_status_code,404,Robots.txt - Status Code,Server status code of the `robots.txt` Final URL,robots_txt_status_code,404
field ID changed,Robots.txt - Final URL - Media Type,Media type of the `robots.txt` Final URL,robots_txt_final_url_media_type,text/html,Robots.txt - Media Type,Media type of the `robots.txt` Final URL,robots_txt_media_type,text/html
field ID changed,Robots.txt - Final URL - Filesize,Filesize of the `robots.txt` Final URL (bytes),robots_txt_final_url_filesize_in_bytes,1706,Robots.txt - Filesize,Filesize of the `robots.txt` Final URL (bytes),robots_txt_filesize,1706
no change,Robots.txt - Crawl Delay,`Robots.txt` specified crawl delay (seconds),robots_txt_crawl_delay,10,Robots.txt - Crawl Delay,`Robots.txt` specified crawl delay (seconds),robots_txt_crawl_delay,10
no change,Robots.txt - Sitemap Locations,"List of additional sitemap locations (URLs) found in the robots.txt (limited to 2,000 characters)",robots_txt_sitemap_locations,"[""https://www.fec.gov/resources/cms-content/documents/sitemap_html.xml"",""https://www.fec.gov/resources/cms-content/documents/sitemap_pdf.xml"",""https://www.fec.gov/sitemap-wagtail.xml""]",Robots.txt - Sitemap Locations,"List of additional sitemap locations (URLs) found in the robots.txt (limited to 2,000 characters)",robots_txt_sitemap_locations,"[""https://www.fec.gov/resources/cms-content/documents/sitemap_html.xml"",""https://www.fec.gov/resources/cms-content/documents/sitemap_pdf.xml"",""https://www.fec.gov/sitemap-wagtail.xml""]"
no change,Sitemap.xml - Detected,Is the `sitemap_xml_final_url` live (has a 2xx code) and is its entire path `/sitemap.xml`?,sitemap_xml_detected,FALSE,Sitemap.xml - Detected,Is the `sitemap_xml_final_url` live (has a 2xx code) and is its entire path `/sitemap.xml`?,sitemap_xml_detected,FALSE
deprecated,Sitemap.xml - Target URL - Redirects,Does the `sitemap.xml` Target URL redirect?,sitemap_xml_target_url_redirects,FALSE,----,----,----,----
field ID changed,Sitemap.xml - Final URL,"`Sitemap.xml` Final URL after redirects (301, 302, etc.)",sitemap_xml_final_url,https://webforms.fec.gov/sitemap.xml,Sitemap.xml - Final URL,"`Sitemap.xml` Final URL after redirects (301, 302, etc.)",sitemap_xml_url,https://webforms.fec.gov/sitemap.xml
deprecated,Sitemap.xml - Final URL - Live,Does the `sitemap.xml` Final URL return a 2** response?,sitemap_xml_final_url_live,FALSE,----,----,----,----
field ID changed,Sitemap.xml - Final URL - Status Code,Server status code of the `sitemap.xml` Final URL,sitemap_xml_final_url_status_code,404,Sitemap.xml - Status Code,Server status code of the `sitemap.xml` Final URL,sitemap_xml_status_code,404
field ID changed,Sitemap.xml - Final URL - Media Type,Media type of the `sitemap.xml` Final URL,sitemap_xml_final_url_media_type,text/html,Sitemap.xml - Media Type,Media type of the `sitemap.xml` Final URL,sitemap_xml_media_type,text/html
field ID changed,Sitemap.xml - Final URL - Filesize,Filesize of the `sitemap.xml` Final URL (bytes),sitemap_xml_final_url_filesize_in_bytes,6069,Sitemap.xml - Filesize,Filesize of the `sitemap.xml` Final URL (bytes),sitemap_xml_filesize,6069
no change,Sitemap.xml - Items Count,Count of URLs in the detected `sitemap.xml`,sitemap_xml_count,225,Sitemap.xml - Items Count,Count of URLs in the detected `sitemap.xml`,sitemap_xml_count,225
no change,Sitemap.xml - PDF Count,Count of URLs ending in `.pdf` in the detected `sitemap.xml`,sitemap_xml_pdf_count,92,Sitemap.xml - PDF Count,Count of URLs ending in `.pdf` in the detected `sitemap.xml`,sitemap_xml_pdf_count,92
no change,USWDS - Favicon,Presence of USWDS favicon file (part of the standard header banner) in markup,uswds_favicon,20,USWDS - Favicon,Presence of USWDS favicon file (part of the standard header banner) in markup,uswds_favicon,20
no change,USWDS - Favicon in CSS,Presence of USWDS favicon file (part of the standard header banner) in CSS,uswds_favicon_in_css,0,USWDS - Favicon in CSS,Presence of USWDS favicon file (part of the standard header banner) in CSS,uswds_favicon_in_css,0
no change,USWDS - Public Sans Font,Presence of Public Sans font files in CSS,uswds_publicsans_font,40,USWDS - Public Sans Font,Presence of Public Sans font files in CSS,uswds_publicsans_font,40
no change,USWDS - In-page CSS,Presence of .usa- class in a <style> block in HTML,uswds_inpage_css,10,USWDS - In-page CSS,Presence of .usa- class in a <style> block in HTML,uswds_inpage_css,10
no change,USWDS - USA Class List,List of each known USWDS class used,uswds_usa_class_list,"[""usa-accordion"",""usa-banner"",""usa-footer"",""usa-identifier"",""usa-link"",""usa-list""]",USWDS - USA Class List,List of each known USWDS class used,uswds_usa_class_list,"[""usa-accordion"",""usa-banner"",""usa-footer"",""usa-identifier"",""usa-link"",""usa-list""]"
no change,USWDS - Here's How Link,Presence of the USWDS 'official website of the US government/Here's how you know' banner,uswds_banner_heres_how,TRUE,USWDS - Here's How Link,Presence of the USWDS 'official website of the US government/Here's how you know' banner,uswds_banner_heres_how,TRUE
no change,USWDS - USA Classes,Presence of known USWDS classes in CSS,uswds_usa_classes,65,USWDS - USA Classes,Presence of known USWDS classes in CSS,uswds_usa_classes,65
no change,USWDS - String,Presence of string `uswds` anywhere in HTML,uswds_string,4,USWDS - String,Presence of string `uswds` anywhere in HTML,uswds_string,4
no change,USWDS - String in CSS,Presence of string `uswds` in CSS,uswds_string_in_css,20,USWDS - String in CSS,Presence of string `uswds` in CSS,uswds_string_in_css,20
no change,USWDS - Semantic Version,USWDS semantic version,uswds_semantic_version,2.13.1,USWDS - Semantic Version,USWDS semantic version,uswds_semantic_version,2.13.1
no change,USWDS - Version,"Presence of version of USWDS, if available",uswds_version,100,USWDS - Version,"Presence of version of USWDS, if available",uswds_version,100
no change,USWDS - Count,"Calculated likelihood a site is using USWDS. Derived by adding the detected USWDS components together, the higher the number the more USWDS-y it is.",uswds_count,259,USWDS - Count,"Calculated likelihood a site is using USWDS. Derived by adding the detected USWDS components together, the higher the number the more USWDS-y it is.",uswds_count,259
