Category,Department/Agency/Subagency,Competitive employee count,Excepted employee count,SES employee count,Unknown employee count
Department,DEPARTMENT OF WAR,585508,107456,1044,4
Department,DEPARTMENT OF VETERANS AFFAIRS,144745,303326,340,11
Department,DEPARTMENT OF HOMELAND SECURITY,137326,90483,589,2
Department,DEPARTMENT OF JUSTICE,57331,48511,670,3
Department,DEPARTMENT OF THE TREASURY,81415,4403,371,0
Department,DEPARTMENT OF HEALTH AND HUMAN SERVICES,57827,15956,426,339
Department,DEPARTMENT OF AGRICULTURE,65553,5495,272,1
Department,DEPARTMENT OF TRANSPORTATION,7563,45237,209,0
Department,DEPARTMENT OF THE INTERIOR,47421,5161,195,0
Department,SOCIAL SECURITY ADMINISTRATION,46702,3094,84,0
Department,DEPARTMENT OF COMMERCE,31534,9677,354,0
Department,NON CFO ACT AGENCY,28263,8903,425,0
Department,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,13175,425,314,0
Department,DEPARTMENT OF ENERGY,11231,1893,361,2
Department,ENVIRONMENTAL PROTECTION AGENCY,11209,1408,232,0
Department,DEPARTMENT OF STATE,9725,1677,184,0
Department,DEPARTMENT OF LABOR,10377,672,141,0
Department,GENERAL SERVICES ADMINISTRATION,8099,279,69,0
Department,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,5503,417,79,0
Department,SMALL BUSINESS ADMINISTRATION,3322,2056,40,0
Department,NUCLEAR REGULATORY COMMISSION,0,2431,78,0
Department,DEPARTMENT OF EDUCATION,1456,794,59,0
Department,OFFICE OF PERSONNEL MANAGEMENT,1846,97,53,0
Department,NATIONAL SCIENCE FOUNDATION,654,441,58,0
Department,U.S. AGENCY FOR INTERNATIONAL DEVELOPMENT,150,105,3,0
Agency,DEPARTMENT OF VETERANS AFFAIRS,144745,303326,340,11
Agency,DEPARTMENT OF HOMELAND SECURITY,137326,90483,589,2
Agency,DEPARTMENT OF THE NAVY,183872,18072,272,0
Agency,DEPARTMENT OF THE ARMY,154815,38941,220,0
Agency,DEPARTMENT OF THE AIR FORCE,130215,23373,166,0
Agency,DEPARTMENT OF WAR,116606,27070,386,4
Agency,DEPARTMENT OF JUSTICE,57331,48511,670,3
Agency,DEPARTMENT OF TREASURY,81415,4403,371,0
Agency,DEPARTMENT OF HEALTH AND HUMAN SERVICES,57827,15956,426,339
Agency,DEPARTMENT OF AGRICULTURE,65553,5495,272,1
Agency,DEPARTMENT OF TRANSPORTATION,7563,45237,209,0
Agency,DEPARTMENT OF INTERIOR,47421,5161,195,0
Agency,SOCIAL SECURITY ADMINISTRATION,46702,3094,84,0
Agency,DEPARTMENT OF COMMERCE,31534,9677,354,0
Agency,NAT AERONAUTICS AND SPACE ADMINISTRATION,13175,425,314,0
Agency,DEPARTMENT OF ENERGY,11231,1893,361,2
Agency,ENVIRONMENTAL PROTECTION AGENCY,11209,1408,232,0
Agency,DEPARTMENT OF STATE,9725,1677,184,0
Agency,DEPARTMENT OF LABOR,10377,672,141,0
Agency,GENERAL SERVICES ADMINISTRATION,8099,279,69,0
Agency,DEPARTMENT OF HOUSING AND URBAN DEVELOPM,5503,417,79,0
Agency,SMALL BUSINESS ADMINISTRATION,3322,2056,40,0
Agency,FEDERAL DEPOSIT INSURANCE CORPORATION,4731,434,0,0
Agency,SMITHSONIAN INSTITUTION,3991,129,0,0
Agency,SECURITIES AND EXCHANGE COMMISSION,2220,1758,0,0
Agency,NUCLEAR REGULATORY COMMISSION,0,2431,78,0
Agency,NAT ARCHIVES AND RECORDS ADMINISTRATION,2339,53,16,0
Agency,DEPARTMENT OF EDUCATION,1456,794,59,0
Agency,OFFICE OF PERSONNEL MANAGEMENT,1846,97,53,0
Agency,EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,1338,371,33,0
Agency,GOVERNMENT PUBLISHING OFFICE,1534,86,0,0
Agency,FEDERAL RESERVE SYSTEM,983,231,0,0
Agency,FEDERAL COMMUNICATIONS COMMISSION,690,491,31,0
Agency,NATIONAL SCIENCE FOUNDATION,654,441,58,0
Agency,NATIONAL LABOR RELATIONS BOARD,522,496,52,0
Agency,FEDERAL TRADE COMMISSION,378,594,35,0
Agency,NATIONAL CREDIT UNION ADMINISTRATION,877,61,0,0
Agency,COURT SERVICES AND OFFENDR SUPERVSN AGY,901,12,13,0
Agency,U.S.AGENCY FOR GLOBAL MEDIA,718,86,10,0
Agency,PENSION BENEFIT GUARANTY CORPORATION,703,101,0,0
Agency,RAILROAD RETIREMENT BOARD,674,16,9,0
Agency,PEACE CORPS,0,666,0,0
Agency,FEDERAL HOUSING FINANCE AGENCY,554,60,0,0
Agency,COMMODITY FUTURES TRADING COMMISSION,347,196,0,0
Agency,DFC,446,79,0,0
Agency,OFFICE OF MANAGEMENT AND BUDGET,387,62,69,0
Agency,CONSUMER PRODUCT SAFETY COMMISSION,383,40,15,0
Agency,NATIONAL TRANSPORTATION SAFETY BOARD,366,25,17,0
Agency,CORP FOR NATIONAL AND COMMUNITY SERVICE,5,402,0,0
Agency,U.S. INTERNATIONAL TRADE COMMISSION,262,128,11,0
Agency,EXPORT-IMPORT BANK OF THE UNITED STATES,277,48,0,0
Agency,PRESIDIO TRUST,0,316,0,0
Agency,FARM CREDIT ADMINISTRATION,264,37,0,0
Agency,ARMED FORCES RETIREMENT HOME,270,8,1,0
Agency,U.S. AGENCY FOR INTERNATIONAL DEV,150,105,3,0
Agency,OFFICE OF ADMINISTRATION,181,71,0,0
Agency,INTER BOUND AND WATER COMM U.S. SECTION,241,9,0,0
Agency,FEDERAL ELECTION COMMISSION,2,247,0,0
Agency,FED RETIREMENT THRIFT INVESTMENT BOARD,203,25,10,0
Agency,MILLENNIUM CHALLENGE CORPORATION,185,47,0,0
Agency,OFFICE OF THE U.S. TRADE REPRESENTATIVE,137,64,20,0
Agency,NAT FOUNDATION ON ARTS AND HUMANITIES,141,57,10,0
Agency,JUDICIAL BRANCH,0,167,0,0
Agency,MERIT SYSTEMS PROTECTION BOARD,50,100,9,0
Agency,SELECTIVE SERVICE SYSTEM,95,47,1,0
Agency,OFFICE OF SPECIAL COUNSEL,22,90,3,0
Agency,SURFACE TRANSPORTATION BOARD,55,52,4,0
Agency,FEDERAL MARITIME COMMISSION,71,30,6,0
Agency,DEFENSE NUCLEAR FACILITIES SAFETY BOARD,26,66,6,0
Agency,U.S. HOLOCAUST MEMORIAL MUSEUM,91,3,0,0
Agency,FED MEDIATION AND CONCILIATION SERVICE,25,65,0,0
Agency,FEDERAL LABOR RELATIONS AUTHORITY,22,49,8,0
Agency,AMERICAN BATTLE MONUMENTS COMMISSION,74,1,2,0
Agency,ELECTION ASSISTANCE COMMISSION,0,68,0,0
Agency,OFFICE OF GOVERNMENT ETHICS,43,17,1,0
Agency,OFFICE OF NATIONAL DRUG CONTROL POLICY,24,23,9,0
Agency,COMMISSION ON CIVIL RIGHTS,34,16,0,0
Agency,TRADE AND DEVELOPMENT AGENCY,41,8,1,0
Agency,MEDICAID & CHIP PAYMENT & ACCESS COMM,0,50,0,0
Agency,FED MINE SAFETY AND HEALTH REVIEW CMSN,22,24,1,0
Agency,CHEMICAL SAFETY/HAZARD INVESTIGATION BD,39,3,1,0
Agency,OCCUPATIONAL SAFETY & HEALTH REVIEW CMSN,17,23,3,0
Agency,NATIONAL MEDIATION BOARD,24,10,1,0
Agency,ADV COUNCIL ON HISTORIC PRESERVATION,0,34,1,0
Agency,CMTE FOR PURCH FRM PPLE BLIND OR SEV DIS,21,12,1,0
Agency,ARCHITECTL & TRANS BARRIER COMPLIANCE BD,16,17,1,0
Agency,OFC OF THE NAT CYBER DIR,11,23,0,0
Agency,MORRIS K. UDALL & STEWART L. UDALL FOUND,0,30,0,0
Agency,NATIONAL CAPITAL PLANNING COMMISSION,25,3,1,0
Agency,U.S.-CHINA ECONOMIC & SECURITY REV CMSN,0,28,0,0
Agency,PRIVACY AND CIVIL LIBERTIES OVERSIGHT,0,28,0,0
Agency,NATIONAL SECURITY COUNCIL,0,27,0,0
Agency,COUNCIL OF INSP. GEN. ON INTEG.& EFFIC.,7,17,1,0
Agency,OFFICE OF SCIENCE AND TECHNOLOGY POLICY,8,16,1,0
Agency,MARINE MAMMAL COMMISSION,10,14,0,0
Agency,INTER-AMERICAN FOUNDATION,21,3,0,0
Agency,U.S. CMSN ON INTERNATL RELIGIOUS FREEDOM,0,24,0,0
Agency,AFRICAN DEVELOPMENT FOUNDATION,21,2,0,0
Agency,GULF COAST ECOSYSTEM RESTORATION COUNCIL,20,1,1,0
Agency,COUNCIL OF ECONOMIC ADVISERS,2,19,1,0
