Category,Department/Agency/Subagency,Competitive employee count,Excepted employee count,SES employee count,Unknown employee count
Agency,COUNCIL ON ENVIR QUAL/OFC OF ENVIR QUAL,2,20,0,0
Agency,FEDERAL PERMITTING IMPROVEMENT STEER,13,5,1,0
Agency,CMSN FOR PRES OF AMERICA'S HERITAGE ABRD,1,17,0,0
Agency,NATIONAL COUNCIL ON DISABILITY,6,12,0,0
Agency,NAT CMSN ON LIBRARIES AND INFO SCIENCE,0,17,0,0
Agency,INTERNATIONAL JOINT CMSN: U.S. & CANADA,11,5,0,0
Agency,FEDERAL FINANCIAL INST. EXAM. COUNCIL,9,4,0,0
Agency,NUCLEAR WASTE TECHNICAL REVIEW BOARD,4,8,0,0
Agency,DENALI COMMISSION,0,12,0,0
Agency,JAPAN-UNITED STATES FRIENDSHIP CMSN,3,8,1,0
Agency,UTAH RECLAMATN MITIGATN & CONSERVTN CMSN,0,11,0,0
Agency,U.S. INTERAGENCY COUNCIL ON HOMELESSNESS,0,10,0,0
Agency,ADMIN CONFERENCE OF THE UNITED STATES,1,6,3,0
Agency,FARM CREDIT SYSTEM INSURANCE CORPORATION,8,2,0,0
Agency,CIVIL RIGHTS COLD CASE REVIEW BOARD,0,10,0,0
Agency,PUBLIC INTEREST DECLASSIFICATION BOARD,0,9,0,0
Agency,THE US SEMIQUINCENTENNIAL COMMISSION,0,8,0,0
Agency,COMMISSION OF FINE ARTS,7,0,1,0
Agency,INTERNAT BOUNDARY CMSN: U.S. AND CANADA,5,2,0,0
Agency,PUBLIC BUILDINGS REFORM BOARD,0,7,0,0
Agency,HARRY S. TRUMAN SCHOLARSHIP FOUNDATION,2,2,1,0
Agency,APPALACHIAN REGIONAL COMMISSION,1,4,0,0
Agency,JAMES MADISON MEMORIAL FELLOWSHIP FOUND,0,5,0,0
Agency,ARCTIC RESEARCH COMMISSION,1,0,1,0
Agency,BARRY GOLDWATER SCHOL & EXCEL IN ED FOUN,0,1,1,0
Agency,NORTHERN BORDER REGIONAL COMMISSION,2,0,0,0
Agency,SOUTHWEST BORDER REGIONAL COMMISSION,0,1,0,0
Agency,DELTA REGIONAL AUTHORITY,0,1,0,0
Subagency,AA00 - ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,1,6,3,0
Subagency,AB00 - AMERICAN BATTLE MONUMENTS COMMISSION,74,1,2,0
Subagency,AF02 - AIR FORCE INSPECTION AGENCY (FO),27,0,0,0
Subagency,AF03 - AIR FORCE OPERATIONAL TEST AND EVALUATION CENTER,188,6,0,0
Subagency,AF06 - AIR FORCE AUDIT AGENCY,415,0,2,0
Subagency,AF07 - AIR FORCE OFFICE OF SPECIAL INVESTIGATIONS,298,776,2,0
Subagency,AF09 - AIR FORCE PERSONNEL CENTER,1326,53,1,0
Subagency,AF0B - U.S. AIR FORCE ACADEMY,737,350,0,0
Subagency,"AF0D - U.S. AIR FORCES, EUROPE",1075,321,1,0
Subagency,AF0J - AIR EDUCATION AND TRAINING COMMAND,12466,648,1,0
Subagency,"AF0M - HEADQUARTERS, AIR FORCE RESERVE COMMAND",9210,182,0,0
Subagency,AF0R - PACIFIC AIR FORCES,3028,192,1,0
Subagency,AF0V - AIR FORCE SPECIAL OPERATIONS COMMAND,1248,157,0,0
Subagency,AF12 - AIR FORCE PUBLIC AFFAIRS AGENCY,38,0,0,0
Subagency,AF13 - HQ USAF AND SUPPORT ELEMENTS,1850,235,78,0
Subagency,AF16 - AIR FORCE MORTUARY AFFAIRS OPERATIONS,29,0,0,0
Subagency,AF1B - AIR FORCE MANPOWER ANALYSIS AGENCY,126,1,0,0
Subagency,AF1C - AIR COMBAT COMMAND,8523,2161,3,0
Subagency,AF1L - AIR MOBILITY COMMAND,6590,141,0,0
Subagency,AF1M - AIR FORCE MATERIEL COMMAND,63246,1485,35,0
Subagency,AF1Q - HQ AF FLIGHT STANDARDS AGENCY,51,0,0,0
Subagency,AF1Y - AIR FORCE CIVILIAN CAREER TRAINING,2293,142,0,0
Subagency,AF20 - AIR FORCE AGENCY FOR MODELING/SIMULATION,19,0,0,0
Subagency,AF2A - AIR FORCE COST ANALYSIS AGENCY,79,0,0,0
Subagency,AF2E - AIR FORCE LEGAL OPERATIONS AGENCY,75,96,1,0
Subagency,AF2F - AIR FORCE MEDICAL SUPPORT AGENCY,1,0,0,0
Subagency,AF2H - AIR FORCE OPERATIONS GROUP,18,0,0,0
Subagency,AF2I - AIR NATIONAL GUARD SUPPORT CENTER,567,39,0,0
Subagency,AF2K - AIR FORCE HISTORICAL RESEARCH AGENCY,39,2,0,0
Subagency,AF2L - AIR FORCE TECHNICAL APPLICATIONS CENTER,0,430,0,0
Subagency,AF2M - AIR FORCE REVIEW BOARDS AGENCY,75,3,1,0
Subagency,AF2R - AIR FORCE PROGRAM EXECUTIVE OFFICE,25,1,0,0
Subagency,AF2S - AIR FORCE ELEMENTS NORAD,85,0,0,0
Subagency,AF2T - AIR FORCE SAFETY CENTER,76,1,0,0
Subagency,AF2Z - AIR FORCE MEDICAL COMMAND,143,3,0,0
Subagency,AF38 - AFELM JCS,0,21,0,0
Subagency,"AF3C - AIR FORCE ELEMENTS, U.S. CENTRAL COMMAND",332,8,2,0
Subagency,"AF3D - AIR FORCE ELEMENTS, U.S. SPECIAL OPERATIONS COMMAND",920,70,6,0
Subagency,"AF3Q - AIR FORCE ELEMENTS, U.S. STRATEGIC COMMAND",1030,238,5,0
Subagency,"AF3T - AIR FORCE ELEMENTS, U.S. TRANSPORTATION COMMAND",911,18,3,0
Subagency,AF3V - AIR FORCE ELEMENTS,1,158,0,0
Subagency,AF40 - NATIONAL AIR AND SPACE INTELLIGENCE CENTER,0,1168,0,0
Subagency,AF4D - U.S. NORTHERN COMMAND,555,27,5,0
Subagency,AF4F - HQ US SPACE FORCE,231,19,7,0
Subagency,AF4G - UNITED STATES SPACE FORCE,2104,19,0,0
Subagency,AF4S - AFELM US SPACE COMMAND,529,25,3,0
Subagency,AF4V - NON-DOD AND OTHER SUPPORT,507,317,3,0
Subagency,AF4W - AIR FORCE DISTRICT OF WASHINGTON,1089,44,0,0
Subagency,AF5D - DEFENSE CYBER CRIME CENTER,77,16,1,0
Subagency,AF6D - SPACE DEVELOPMENT AGENCY,113,9,0,0
Subagency,AF6E - Space Force Service Wide Support Activities,42,0,0,0
Subagency,AF6F - UNITED STATES SPACE FORCE FORCES,1199,92,3,0
Subagency,AF6K - United States Space Force Components,51,11,0,0
Subagency,AF6N - National Space Intelligence Center,0,307,0,0
Subagency,AF6S - SPACE SYSTEMS COMMAND,2452,47,2,0
Subagency,AF6T - SPACE TRAINING AND READINESS COMMAND,233,7,0,0
Subagency,AFGS - AIR FORCE GLOBAL STRIKE COMMAND,3483,89,0,0
Subagency,AFNG - AIR NATIONAL GUARD UNITS,303,13120,0,0
Subagency,AFSN - AIR FORCES SOUTHERN,85,14,0,0
Subagency,AFZG - U.S. SPECIAL OPERATIONS COMMAND (ANG),2,104,0,0
Subagency,AG01 - OFFICE OF THE SECRETARY OF AGRICULTURE,32,61,21,0
Subagency,AG02 - AGRICULTURAL MARKETING SERVICE,2225,1655,10,0
Subagency,AG03 - AGRICULTURAL RESEARCH SERVICE,4257,641,18,0
Subagency,AG07 - RURAL DEVELOPMENT,2990,91,16,0
Subagency,AG08 - RISK MANAGEMENT AGENCY,336,9,6,0
Subagency,AG10 - FOREIGN AGRICULTURAL SERVICE,367,171,5,0
Subagency,AG11 - FOREST SERVICE,25543,677,39,1
Subagency,AG13 - OFFICE OF COMMUNICATIONS,17,12,0,0
Subagency,AG14 - OFFICE OF THE GENERAL COUNSEL,55,135,20,0
Subagency,AG16 - NATURAL RESOURCES CONSERVATION SERVICE,8927,131,20,0
Subagency,AG18 - ECONOMIC RESEARCH SERVICE,191,5,2,0
Subagency,AG20 - NATIONAL AGRICULTURAL STATISTICS SERVICE,488,4,6,0
Subagency,AG22 - NATIONAL INSTITUTE OF FOOD AND AGRICULTURE,276,4,4,0
Subagency,AG23 - OFFICE OF THE INSPECTOR GENERAL,327,25,7,0
Subagency,AG30 - FOOD AND NUTRITION SERVICE,1155,40,7,0
Subagency,AG34 - ANIMAL AND PLANT HEALTH INSPECTION SERVICE,5088,1548,27,0
Subagency,AG37 - FOOD SAFETY AND INSPECTION SERVICE,7389,39,16,0
Subagency,AG38 - OFFICE OF THE CHIEF ECONOMIST,42,3,5,0
Subagency,AG42 - OFFICE OF BUDGET AND PROGRAM ANALYSIS,31,2,2,0
Subagency,AG90 - OFFICE OF THE CHIEF FINANCIAL OFFICER,709,15,6,0
Subagency,AG99 - FPAC BUSINESS CENTER,1011,8,11,0
Subagency,AGAO - OFFICE OF PARTNERSHIPS AND PUBLIC ENGAGEMENT,15,7,2,0
Subagency,AGCR - CIVIL RIGHTS,92,1,4,0
Subagency,AGDA - DEPARTMENTAL ADMINISTRATION,299,28,3,0
Subagency,AGFA - FARM SERVICE AGENCY,2447,151,6,0
Subagency,AGHL - HOMELAND SECURITY STAFF,42,3,1,0
Subagency,AGIT - OFFICE OF THE CHIEF INFORMATION OFFICER,1163,20,8,0
Subagency,AGNA - NATIONAL APPEALS DIVISION,39,9,0,0
Subagency,AH01 - NATIONAL ENDOWMENT FOR THE ARTS,79,28,5,0
Subagency,AH02 - NATIONAL ENDOWMENT FOR THE HUMANITIES,33,20,4,0
Subagency,AH03 - INSTITUTE OF MUSEUM AND LIBRARY SERVICES,29,9,1,0
Subagency,AM00 - U.S. AGENCY FOR INTERNATIONAL DEVELOPMENT,150,105,3,0
Subagency,AN00 - AFRICAN DEVELOPMENT FOUNDATION,21,2,0,0
Subagency,AP00 - APPALACHIAN REGIONAL COMMISSION,1,4,0,0
Subagency,AR2A - UNITED STATES ARMY CYBER COMMAND,1382,2597,2,0
Subagency,AR3A - U.S. ARMY CENTRAL,280,16,0,0
Subagency,AR5A - U.S. ARMY NORTH,221,18,1,0
Subagency,ARAE - U.S. ARMY ACQUISITION SUPPORT CENTER,4650,119,8,0
Subagency,ARAF - UNITED STATES ARMY FUTURES COMMAND,13785,235,27,0
Subagency,ARAN - U.S. ARMY NATIONAL MILITARY CEMETERIES,191,2,1,0
Subagency,ARAP - U. S. MILITARY ENTRANCE PROCESSING COMMAND,2234,71,0,0
Subagency,ARAS - U.S. ARMY INTELLIGENCE AND SECURITY COMMAND,0,3164,0,0
Subagency,ARAT - U.S. ARMY TEST AND EVALUATION COMMAND,3357,53,2,0
Subagency,ARCB - U.S. ARMY CRIMINAL INVESTIGATION COMMAND,1429,79,2,0
Subagency,ARCE - U.S. ARMY CORPS OF ENGINEERS,34026,858,32,0
Subagency,ARCH - US ARMY CIVILIAN HUMAN RESOURCES AGENCY,3323,116,1,0
Subagency,ARCS - IMMEDIATE OFFICE OF THE CHIEF OF STAFF OF THE ARMY,780,244,18,0
Subagency,ARE1 - IMMEDIATE OFFICE OF THE COMMANDER-IN-CHIEF OF THE U.S. ARMY EUROPE AND SEVENTH ARMY,738,112,2,0
Subagency,ARE2 - 21ST THEATER SUSTAINMENT COMMAND (TSC),339,22,0,0
Subagency,ARE3 - UNITED STATES ARMY EUROPE AND AFRICA,178,32,0,0
Subagency,ARE5 - U.S. ARMY V CORPS,45,9,0,0
Subagency,AREN - SEVENTH ARMY TRAINING COMMAND,267,23,0,0
Subagency,ARFC - U.S. ARMY FORCES COMMAND,2085,159,1,0
Subagency,ARGB - OFFICE OF THE CHIEF OF THE NATIONAL GUARD BUREAU,638,38,1,0
Subagency,ARHC - US ARMY HUMAN RESOURCES COMMAND (DRU),1219,30,0,0
Subagency,ARHR - U.S. ARMY RESERVE COMMAND,7335,657,0,0
Subagency,ARJ1 - U.S. ARMY ELEMENT SHAPE,118,44,5,0
Subagency,ARJA - JOINT ACTIVITIES,1650,898,9,0
Subagency,ARJC - ,16,2,0,0
Subagency,ARMA - U.S. MILITARY ACADEMY,429,286,0,0
Subagency,ARMC - U.S. ARMY MEDICAL COMMAND,2830,75,1,0
Subagency,ARMW - U.S. ARMY MILITARY DISTRICT OF WASHINGTON,278,22,0,0
Subagency,ARNG - ARMY NATIONAL GUARD UNITS,357,24007,0,0
Subagency,"ARP1 - U.S. ARMY, PACIFIC",1284,71,1,0
Subagency,ARPS - MILITARY POSTAL SERVICE AGENCY,15,0,0,0
Subagency,ARSA - OFFICE OF THE SECRETARY OF THE ARMY,737,67,48,0
Subagency,ARSB - FIELD OPERATING OFFICES OF THE OFFICE OF THE SECRETARY OF THE ARMY,995,34,5,0
Subagency,ARSC - U. S. ARMY SPACE AND MISSILE DEFENSE COMMAND/U. S. ARMY FORCES STRATEGIC COMMAND,544,60,2,0
Subagency,ARSE - HQDA FIELD OPERATING AGENCIES AND STAFF SUPPORT AGENCIES AND STAFF SUPPORT AGENCIES,972,128,4,0
Subagency,"ARSJ - JOINT SERVICES AND ACTIVITIES SUPPORTED BY THE OFFICE, SECRETARY OF THE ARMY",32,52,0,0
Subagency,ARSO - U.S. ARMY SOUTH,160,12,0,0
Subagency,ARSP - U.S. SPECIAL OPERATIONS COMMAND (ARMY),1487,242,1,0
Subagency,ARTA - U.S. ARMY RECRUITING COMMAND AND U.S. ARMY CADET COMMAND,2187,35,0,0
Subagency,ARTC - U.S. ARMY TRAINING AND DOCTRINE COMMAND,6803,2644,11,0
Subagency,ARTW - U.S. ARMY WAR COLLEGE,199,101,0,0
Subagency,"ARX2 - HEADQUARTERS, AMC",500,35,9,0
Subagency,ARX6 - U.S. ARMY AVIATION AND MISSILE COMMAND,5954,178,4,0
Subagency,ARX7 - U.S. ARMY TANK-AUTOMOTIVE AND ARMAMENT COMMAND (TACOM),8839,168,2,0
Subagency,ARX8 - U.S. ARMY COMMUNICATIONS ELECTRONICS COMMAND,4878,109,3,0
Subagency,ARX9 - UNITED STATES ARMY MEDICAL LOGISTICS COMMAND,190,10,0,0
Subagency,ARXA - UNITED STATES ARMY INSTALLATION MANAGEMENT COMMAND,19547,755,6,0
Subagency,ARXB - U.S. ARMY CHEMICAL MATERIALS ACTIVITY,191,1,0,0
Subagency,ARXC - U.S. ARMY SUSTAINMENT COMMAND,3454,133,2,0
Subagency,ARXD - U. S. ARMY CONTRACTING COMMAND,4454,57,7,0
Subagency,ARXF - UNITED STATES ARMY FINANCIAL MANAGEMENT COMMAND,874,1,0,0
Subagency,ARXG - UNITED STATES ARMY PRINT AND MEDIA DISTRIBUTION CENTER,47,0,0,0
Subagency,ARXK - MATERIEL ACQUISITION ACTIVITIES,53,2,0,0
Subagency,ARXP - U.S. ARMY SECURITY ASSISTANCE COMMAND,418,8,0,0
Subagency,ARXQ - U.S. ARMY JOINT MUNITIONS COMMAND,4557,23,0,0
Subagency,ARXT - U.S. ARMY MILITARY SURFACE DEPLOYMENT AND DISTRIBUTION COMMAND,1125,24,2,0
Subagency,ARXX - MATERIEL READINESS ACTIVITIES,139,3,0,0
Subagency,AU00 - FEDERAL LABOR RELATIONS AUTHORITY,22,49,8,0
Subagency,AW00 - ARCTIC RESEARCH COMMISSION,1,0,1,0
Subagency,BD00 - MERIT SYSTEMS PROTECTION BOARD,50,100,9,0
Subagency,BF00 - DEFENSE NUCLEAR FACILITIES SAFETY BOARD,26,66,6,0
Subagency,BG00 - PENSION BENEFIT GUARANTY CORPORATION,703,101,0,0
Subagency,BH00 - COMMISSION FOR THE PRESERVATION OF AMERICA'S HERITAGE ABROAD,1,17,0,0
Subagency,BK00 - JAMES MADISON MEMORIAL FELLOWSHIP FOUNDATION,0,5,0,0
Subagency,BO00 - OFFICE OF MANAGEMENT AND BUDGET,387,62,69,0
Subagency,BT00 - ARCHITECTURAL AND TRANSPORTATION BARRIERS COMPLIANCE BOARD,16,17,1,0
Subagency,BW00 - NUCLEAR WASTE TECHNICAL REVIEW BOARD,4,8,0,0
Subagency,CC00 - COMMISSION ON CIVIL RIGHTS,34,16,0,0
Subagency,CE00 - COUNCIL OF ECONOMIC ADVISERS,2,19,1,0
Subagency,CF00 - COMMISSION OF FINE ARTS,7,0,1,0
Subagency,CM51 - OFFICE OF THE SECRETARY,556,299,43,0
Subagency,CM52 - ECONOMIC DEVELOPMENT ADMINISTRATION,150,30,5,0
Subagency,CM53 - BUREAU OF ECONOMIC ANALYSIS,362,5,15,0
Subagency,CM54 - NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,9144,680,91,0
Subagency,CM55 - INTERNATIONAL TRADE ADMINISTRATION,834,267,24,0
Subagency,CM56 - PATENT AND TRADEMARK OFFICE,11970,1349,84,0
Subagency,CM57 - NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,3041,148,28,0
Subagency,CM59 - MINORITY BUSINESS DEVELOPMENT AGENCY,19,5,0,0
Subagency,CM61 - NATIONAL TELECOMMUNICATIONS AND INFORMATION ADMINISTRATION,390,138,18,0
Subagency,CM63 - U.S. CENSUS BUREAU,4470,6733,33,0
Subagency,CM64 - OFFICE OF THE INSPECTOR GENERAL,188,8,5,0
Subagency,CM67 - BUREAU OF INDUSTRY AND SECURITY,410,15,8,0
Subagency,CT00 - COMMODITY FUTURES TRADING COMMISSION,347,196,0,0
Subagency,CU00 - NATIONAL CREDIT UNION ADMINISTRATION,877,61,0,0
Subagency,CX00 - NATIONAL COMMISSION ON LIBRARIES AND INFORMATION SCIENCE,0,17,0,0
Subagency,DA00 - DELTA REGIONAL AUTHORITY,0,1,0,0
Subagency,DB00 - PUBLIC INTEREST DECLASSIFICATION BOARD,0,9,0,0
Subagency,DD01 - OFFICE OF THE SECRETARY OF DEFENSE,1371,739,197,0
Subagency,DD02 - ORGANIZATION OF THE JOINT CHIEFS OF STAFF,708,52,11,0
Subagency,DD04 - DEFENSE INFORMATION SYSTEMS AGENCY,2320,3781,18,0
Subagency,DD06 - DEFENSE SECURITY COOPERATION AGENCY,768,283,2,2
Subagency,DD07 - DEFENSE LOGISTICS AGENCY,22609,265,17,0
Subagency,DD08 - U.S. COURT OF APPEALS FOR THE ARMED FORCES,10,40,2,0
Subagency,DD10 - DEFENSE CONTRACT AUDIT AGENCY,3161,11,13,0
Subagency,DD12 - DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY,0,5067,0,0
Subagency,DD13 - DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,100,122,2,0
Subagency,DD15 - UNIFORMED SERVICES UNIVERSITY OF THE HEALTH SCIENCES,391,292,0,0
Subagency,DD16 - DEPARTMENT OF DEFENSE EDUCATION ACTIVITY,1546,12848,5,0
Subagency,DD21 - WASHINGTON HEADQUARTERS SERVICES,1319,100,17,2
Subagency,DD23 - OFFICE OF ECONOMIC ADJUSTMENT,44,1,1,0
Subagency,DD25 - DEFENSE LEGAL SERVICES AGENCY,65,172,4,0
Subagency,DD26 - OFFICE OF THE INSPECTOR GENERAL,1180,388,22,0
Subagency,DD27 - MISSILE DEFENSE AGENCY,2428,90,15,0
Subagency,DD29 - DEFENSE TECHNOLOGY SECURITY ADMINISTRATION,116,3,1,0
Subagency,DD34 - DEFENSE COMMISSARY AGENCY,9639,270,2,0
Subagency,DD35 - DEFENSE FINANCE AND ACCOUNTING SERVICE,9363,51,16,0
Subagency,DD48 - DEFENSE HUMAN RESOURCES ACTIVITY,986,23,7,0
