Category,Section,Specific Page,URL
About,Documentation Repository,Scan Steps,https://github.com/GSA/site-scanning-documentation/blob/main/pages/scan_steps.md
About,Documentation Repository,Schedule,https://github.com/GSA/site-scanning-documentation/blob/main/pages/schedule.md
About,Documentation Repository,Suggested Agency Improvements,https://github.com/GSA/site-scanning-documentation/blob/main/pages/suggested-agency-improvements.md
About,Documentation Repository,Technical Details - Copy,https://github.com/GSA/site-scanning-documentation/blob/main/pages/technical_details-copy.md
About,Documentation Repository,Terms,https://github.com/GSA/site-scanning-documentation/blob/main/pages/terms.md
About,Documentation Repository,Website Definitions,https://github.com/GSA/site-scanning-documentation/blob/main/pages/website_definitions.md
About,Federal Website Index Repository,--,https://github.com/GSA/federal-website-index
Technical,Federal Website Index Repository,Ignore List Analysis,https://github.com/GSA/federal-website-index/blob/main/criteria/ignore-list-criteria-analysis.md
Table,Federal Website Index Repository,Target URL Sources,https://github.com/GSA/federal-website-index/blob/main/data/target_url_sources.csv
Technical,Federal Website Index Repository,Index Creation Process,https://github.com/GSA/federal-website-index/blob/main/process/index-creation.md
Technical,Federal Website Index Repository,Index QA,https://github.com/GSA/federal-website-index/blob/main/process/index_qa.md
About,Analysis Repository,--,https://github.com/GSA/site-scanning-analysis
Technical,Analysis Repository,Analytical Experiments,https://github.com/GSA/site-scanning-analysis/tree/main/experiments
Technical,Analysis Repository,Reports,https://github.com/GSA/site-scanning-analysis/tree/main/reports
Technical,Analysis Repository,Prototype Reports,https://github.com/GSA/site-scanning-analysis/tree/main/reports/drafts
Technical,Analysis Repository,Suggested Agency Improvements 2,https://github.com/GSA/site-scanning-analysis/tree/main/reports/website-requests
Technical,Site Scanning Engine Code Repository,--,https://github.com/GSA/site-scanning-engine
Technical,Site Scanning Engine Code Repository,System Documentation,https://github.com/GSA/site-scanning-engine/tree/main/docs
Technical,Snapshots Repository,--,https://github.com/GSA/site-scanning-snapshots
